  0%|          | 0/10000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                   
{'loss': 32344539712716.8, 'grad_norm': 63257576.0, 'learning_rate': 1.8e-06, 'epoch': 0.0}
{'loss': 42649692982476.8, 'grad_norm': 189106384.0, 'learning_rate': 3.8e-06, 'epoch': 0.0}
{'loss': 20368509947084.8, 'grad_norm': 8744839.0, 'learning_rate': 5.8e-06, 'epoch': 0.0}
{'loss': 32195752650342.4, 'grad_norm': 79199840.0, 'learning_rate': 7.8e-06, 'epoch': 0.0}
{'loss': 35623076154572.8, 'grad_norm': 152880000.0, 'learning_rate': 9.800000000000001e-06, 'epoch': 0.0}
{'loss': 14232327081164.8, 'grad_norm': 36485248.0, 'learning_rate': 1.18e-05, 'epoch': 0.0}
{'loss': 27542306580070.4, 'grad_norm': 82221488.0, 'learning_rate': 1.3800000000000002e-05, 'epoch': 0.0}
{'loss': 32242198695116.8, 'grad_norm': 96781376.0, 'learning_rate': 1.58e-05, 'epoch': 0.0}
{'loss': 22650717995008.0, 'grad_norm': 4998407.5, 'learning_rate': 1.78e-05, 'epoch': 0.0}
{'loss': 41790810252902.4, 'grad_norm': 314684480.0, 'learning_rate': 1.9800000000000004e-05, 'epoch': 0.0}
{'loss': 42545328632627.2, 'grad_norm': 199336400.0, 'learning_rate': 2.18e-05, 'epoch': 0.0}
{'loss': 32126160758374.4, 'grad_norm': 7454646.0, 'learning_rate': 2.38e-05, 'epoch': 0.0}
{'loss': 32470630557286.4, 'grad_norm': 4431508.5, 'learning_rate': 2.58e-05, 'epoch': 0.01}
{'loss': 34889478963200.0, 'grad_norm': 740807104.0, 'learning_rate': 2.7800000000000005e-05, 'epoch': 0.01}
{'loss': 38515240022835.2, 'grad_norm': 1249961984.0, 'learning_rate': 2.98e-05, 'epoch': 0.01}
{'loss': 38030875086028.8, 'grad_norm': 3659146752.0, 'learning_rate': 3.18e-05, 'epoch': 0.01}
{'loss': 26944886695526.4, 'grad_norm': 6336299520.0, 'learning_rate': 3.38e-05, 'epoch': 0.01}
{'loss': 36403387826176.0, 'grad_norm': 5058929664.0, 'learning_rate': 3.58e-05, 'epoch': 0.01}
{'loss': 31887051875942.4, 'grad_norm': 7620848128.0, 'learning_rate': 3.7800000000000004e-05, 'epoch': 0.01}
{'loss': 41943825173708.8, 'grad_norm': 11737035776.0, 'learning_rate': 3.9800000000000005e-05, 'epoch': 0.01}
{'loss': 25849314358067.2, 'grad_norm': 23723718656.0, 'learning_rate': 4.18e-05, 'epoch': 0.01}
{'loss': 45166527040716.8, 'grad_norm': 28794161152.0, 'learning_rate': 4.38e-05, 'epoch': 0.01}
{'loss': 32229823820595.2, 'grad_norm': 13314343936.0, 'learning_rate': 4.58e-05, 'epoch': 0.01}
{'loss': 34422555620147.2, 'grad_norm': 61731647488.0, 'learning_rate': 4.78e-05, 'epoch': 0.01}
{'loss': 42323087563161.6, 'grad_norm': 74918404096.0, 'learning_rate': 4.9800000000000004e-05, 'epoch': 0.01}
{'loss': 35501931233280.0, 'grad_norm': 7469640192.0, 'learning_rate': 5.1800000000000005e-05, 'epoch': 0.01}
{'loss': 25125496605900.8, 'grad_norm': 14051358720.0, 'learning_rate': 5.380000000000001e-05, 'epoch': 0.01}
{'loss': 16420248852889.6, 'grad_norm': 208031023104.0, 'learning_rate': 5.580000000000001e-05, 'epoch': 0.01}
{'loss': 41648609925529.6, 'grad_norm': 287322341376.0, 'learning_rate': 5.7799999999999995e-05, 'epoch': 0.01}
{'loss': 29545680653516.8, 'grad_norm': 391121633280.0, 'learning_rate': 5.9800000000000003e-05, 'epoch': 0.01}
{'loss': 41119318959718.4, 'grad_norm': 512914849792.0, 'learning_rate': 6.18e-05, 'epoch': 0.01}
{'loss': 32179572703232.0, 'grad_norm': 643406757888.0, 'learning_rate': 6.38e-05, 'epoch': 0.01}
{'loss': 42550194025267.2, 'grad_norm': 884622098432.0, 'learning_rate': 6.58e-05, 'epoch': 0.01}
