  0%|          | 0/10000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                     
{'loss': 29649803411456.0, 'grad_norm': 82819112.0, 'learning_rate': 1.8e-06, 'epoch': 0.0}
{'loss': 35377504688537.6, 'grad_norm': 92567640.0, 'learning_rate': 3.8e-06, 'epoch': 0.01}
{'loss': 34360795332608.0, 'grad_norm': 59473152.0, 'learning_rate': 5.8e-06, 'epoch': 0.01}
{'loss': 33084076038553.6, 'grad_norm': 81620856.0, 'learning_rate': 7.8e-06, 'epoch': 0.01}
{'loss': 28077425950720.0, 'grad_norm': 68280064.0, 'learning_rate': 9.800000000000001e-06, 'epoch': 0.02}
{'loss': 27435895409868.8, 'grad_norm': 62412028.0, 'learning_rate': 1.18e-05, 'epoch': 0.02}
{'loss': 28610746803814.4, 'grad_norm': 90263376.0, 'learning_rate': 1.3800000000000002e-05, 'epoch': 0.02}
{'loss': 30680910974156.8, 'grad_norm': 110775384.0, 'learning_rate': 1.58e-05, 'epoch': 0.03}
{'loss': 31068192872857.6, 'grad_norm': 135382624.0, 'learning_rate': 1.78e-05, 'epoch': 0.03}
{'loss': 32150937350963.2, 'grad_norm': 202667552.0, 'learning_rate': 1.9800000000000004e-05, 'epoch': 0.03}
{'loss': 31369535160320.0, 'grad_norm': 386239904.0, 'learning_rate': 2.18e-05, 'epoch': 0.04}
{'loss': 31945631203328.0, 'grad_norm': 432982016.0, 'learning_rate': 2.38e-05, 'epoch': 0.04}
{'loss': 28562384800972.8, 'grad_norm': 387199168.0, 'learning_rate': 2.58e-05, 'epoch': 0.04}
{'loss': 31775624318156.8, 'grad_norm': 781068160.0, 'learning_rate': 2.7800000000000005e-05, 'epoch': 0.05}
{'loss': 32031731875840.0, 'grad_norm': 1861550848.0, 'learning_rate': 2.98e-05, 'epoch': 0.05}
{'loss': 32794957630668.8, 'grad_norm': 1063034432.0, 'learning_rate': 3.18e-05, 'epoch': 0.05}
{'loss': 35895105290240.0, 'grad_norm': 6379888640.0, 'learning_rate': 3.38e-05, 'epoch': 0.06}
{'loss': 32745619193856.0, 'grad_norm': 15157022720.0, 'learning_rate': 3.58e-05, 'epoch': 0.06}
{'loss': 32037117362176.0, 'grad_norm': 21272082432.0, 'learning_rate': 3.7800000000000004e-05, 'epoch': 0.06}
{'loss': 28996646259916.8, 'grad_norm': 15487620096.0, 'learning_rate': 3.9800000000000005e-05, 'epoch': 0.07}
{'loss': 28831991306649.6, 'grad_norm': 37187948544.0, 'learning_rate': 4.18e-05, 'epoch': 0.07}
{'loss': 31933581806796.8, 'grad_norm': 72062066688.0, 'learning_rate': 4.38e-05, 'epoch': 0.07}
{'loss': 25969477812224.0, 'grad_norm': 67627950080.0, 'learning_rate': 4.58e-05, 'epoch': 0.08}
