  0%|          | 0/10000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                     
{'loss': 6.632, 'grad_norm': 3.3950068950653076, 'learning_rate': 1.8e-06, 'epoch': 0.0}
{'loss': 9.7386, 'grad_norm': 9.056928634643555, 'learning_rate': 3.8e-06, 'epoch': 0.01}
{'loss': 12.237, 'grad_norm': 5.2830810546875, 'learning_rate': 5.8e-06, 'epoch': 0.01}
{'loss': 11.4802, 'grad_norm': 8.774417877197266, 'learning_rate': 7.8e-06, 'epoch': 0.01}
{'loss': 10.8491, 'grad_norm': 11.723885536193848, 'learning_rate': 9.800000000000001e-06, 'epoch': 0.02}
{'loss': 9.8988, 'grad_norm': 14.69364070892334, 'learning_rate': 1.18e-05, 'epoch': 0.02}
{'loss': 9.3058, 'grad_norm': 18.78474235534668, 'learning_rate': 1.3800000000000002e-05, 'epoch': 0.02}
{'loss': 8.78, 'grad_norm': 28.413179397583008, 'learning_rate': 1.58e-05, 'epoch': 0.03}
{'loss': 10.0797, 'grad_norm': 14.718530654907227, 'learning_rate': 1.78e-05, 'epoch': 0.03}
{'loss': 6.4093, 'grad_norm': 23.302379608154297, 'learning_rate': 1.9800000000000004e-05, 'epoch': 0.03}
{'loss': 5.575, 'grad_norm': 19.872190475463867, 'learning_rate': 2.18e-05, 'epoch': 0.04}
{'loss': 5.1269, 'grad_norm': 30.506141662597656, 'learning_rate': 2.38e-05, 'epoch': 0.04}
{'loss': 4.3326, 'grad_norm': 27.817323684692383, 'learning_rate': 2.58e-05, 'epoch': 0.04}
{'loss': 3.5782, 'grad_norm': 20.39749526977539, 'learning_rate': 2.7800000000000005e-05, 'epoch': 0.05}
{'loss': 4.3441, 'grad_norm': 41.810401916503906, 'learning_rate': 2.98e-05, 'epoch': 0.05}
{'loss': 3.45, 'grad_norm': 75.21257781982422, 'learning_rate': 3.18e-05, 'epoch': 0.05}
{'loss': 3.5018, 'grad_norm': 97.00553894042969, 'learning_rate': 3.38e-05, 'epoch': 0.06}
{'loss': 2.9309, 'grad_norm': 18.872276306152344, 'learning_rate': 3.58e-05, 'epoch': 0.06}
{'loss': 3.3273, 'grad_norm': 15.127253532409668, 'learning_rate': 3.7800000000000004e-05, 'epoch': 0.06}
{'loss': 3.4005, 'grad_norm': 21.75193977355957, 'learning_rate': 3.9800000000000005e-05, 'epoch': 0.07}
{'loss': 3.2655, 'grad_norm': 7.285529136657715, 'learning_rate': 4.18e-05, 'epoch': 0.07}
{'loss': 3.4898, 'grad_norm': 28.609785079956055, 'learning_rate': 4.38e-05, 'epoch': 0.07}
{'loss': 2.9647, 'grad_norm': 51.274566650390625, 'learning_rate': 4.58e-05, 'epoch': 0.08}
{'loss': 2.751, 'grad_norm': 11.868233680725098, 'learning_rate': 4.78e-05, 'epoch': 0.08}
{'loss': 2.5592, 'grad_norm': 23.549301147460938, 'learning_rate': 4.9800000000000004e-05, 'epoch': 0.08}
{'loss': 3.2841, 'grad_norm': 16.56167221069336, 'learning_rate': 5.1800000000000005e-05, 'epoch': 0.09}
{'loss': 2.7633, 'grad_norm': 7.739988327026367, 'learning_rate': 5.380000000000001e-05, 'epoch': 0.09}
{'loss': 3.0995, 'grad_norm': 21.38585662841797, 'learning_rate': 5.580000000000001e-05, 'epoch': 0.09}
{'loss': 2.8165, 'grad_norm': 21.8903751373291, 'learning_rate': 5.7799999999999995e-05, 'epoch': 0.1}
{'loss': 2.9109, 'grad_norm': 12.45979118347168, 'learning_rate': 5.9800000000000003e-05, 'epoch': 0.1}
{'loss': 2.4202, 'grad_norm': 51.561119079589844, 'learning_rate': 6.18e-05, 'epoch': 0.1}
{'loss': 2.5229, 'grad_norm': 11.284730911254883, 'learning_rate': 6.38e-05, 'epoch': 0.1}
{'loss': 2.2712, 'grad_norm': 29.120807647705078, 'learning_rate': 6.58e-05, 'epoch': 0.11}
{'loss': 2.2372, 'grad_norm': 9.224198341369629, 'learning_rate': 6.780000000000001e-05, 'epoch': 0.11}
{'loss': 2.3033, 'grad_norm': 18.199647903442383, 'learning_rate': 6.98e-05, 'epoch': 0.11}
{'loss': 2.2529, 'grad_norm': 9.475845336914062, 'learning_rate': 7.18e-05, 'epoch': 0.12}
{'loss': 2.5006, 'grad_norm': 14.463890075683594, 'learning_rate': 7.38e-05, 'epoch': 0.12}
{'loss': 2.3983, 'grad_norm': 34.66618347167969, 'learning_rate': 7.58e-05, 'epoch': 0.12}
{'loss': 2.5716, 'grad_norm': 7.958049297332764, 'learning_rate': 7.780000000000001e-05, 'epoch': 0.13}
{'loss': 2.8755, 'grad_norm': 44.99372100830078, 'learning_rate': 7.98e-05, 'epoch': 0.13}
{'loss': 2.2923, 'grad_norm': 49.1220588684082, 'learning_rate': 8.18e-05, 'epoch': 0.13}
{'loss': 2.3292, 'grad_norm': 16.196989059448242, 'learning_rate': 8.38e-05, 'epoch': 0.14}
{'loss': 2.4145, 'grad_norm': 12.747547149658203, 'learning_rate': 8.58e-05, 'epoch': 0.14}
{'loss': 2.1771, 'grad_norm': 16.760011672973633, 'learning_rate': 8.78e-05, 'epoch': 0.14}
{'loss': 1.7286, 'grad_norm': 17.563011169433594, 'learning_rate': 8.98e-05, 'epoch': 0.15}
{'loss': 2.1419, 'grad_norm': 24.261125564575195, 'learning_rate': 9.180000000000001e-05, 'epoch': 0.15}
{'loss': 1.9791, 'grad_norm': 10.67743968963623, 'learning_rate': 9.38e-05, 'epoch': 0.15}
{'loss': 1.8076, 'grad_norm': 10.026189804077148, 'learning_rate': 9.58e-05, 'epoch': 0.16}
{'loss': 1.941, 'grad_norm': 9.299549102783203, 'learning_rate': 9.78e-05, 'epoch': 0.16}
{'loss': 2.0704, 'grad_norm': 16.442794799804688, 'learning_rate': 9.98e-05, 'epoch': 0.16}
{'loss': 2.0954, 'grad_norm': 18.401227951049805, 'learning_rate': 9.9999778549206e-05, 'epoch': 0.17}
{'loss': 1.8098, 'grad_norm': 9.774191856384277, 'learning_rate': 9.999901304280685e-05, 'epoch': 0.17}
{'loss': 1.7204, 'grad_norm': 7.703619480133057, 'learning_rate': 9.999770075521164e-05, 'epoch': 0.17}
{'loss': 1.5528, 'grad_norm': 8.617154121398926, 'learning_rate': 9.99958417007713e-05, 'epoch': 0.18}
