  0%|          | 0/10000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                   
{'loss': 6.6088, 'grad_norm': 3.2037246227264404, 'learning_rate': 1.8e-06, 'epoch': 0.0}
{'loss': 9.7779, 'grad_norm': 9.851298332214355, 'learning_rate': 3.8e-06, 'epoch': 0.01}
{'loss': 12.2473, 'grad_norm': 5.373436450958252, 'learning_rate': 5.8e-06, 'epoch': 0.01}
{'loss': 11.5595, 'grad_norm': 6.732192039489746, 'learning_rate': 7.8e-06, 'epoch': 0.01}
{'loss': 10.9907, 'grad_norm': 8.812116622924805, 'learning_rate': 9.800000000000001e-06, 'epoch': 0.02}
{'loss': 10.0641, 'grad_norm': 13.737621307373047, 'learning_rate': 1.18e-05, 'epoch': 0.02}
{'loss': 9.4745, 'grad_norm': 17.294153213500977, 'learning_rate': 1.3800000000000002e-05, 'epoch': 0.02}
{'loss': 8.8176, 'grad_norm': 28.054771423339844, 'learning_rate': 1.58e-05, 'epoch': 0.03}
{'loss': 10.002, 'grad_norm': 16.89386558532715, 'learning_rate': 1.78e-05, 'epoch': 0.03}
{'loss': 6.1297, 'grad_norm': 26.40404510498047, 'learning_rate': 1.9800000000000004e-05, 'epoch': 0.03}
{'loss': 5.0195, 'grad_norm': 17.790508270263672, 'learning_rate': 2.18e-05, 'epoch': 0.04}
{'loss': 4.5607, 'grad_norm': 21.61528778076172, 'learning_rate': 2.38e-05, 'epoch': 0.04}
{'loss': 3.8218, 'grad_norm': 32.78468704223633, 'learning_rate': 2.58e-05, 'epoch': 0.04}
{'loss': 3.2365, 'grad_norm': 23.204090118408203, 'learning_rate': 2.7800000000000005e-05, 'epoch': 0.05}
{'loss': 4.2956, 'grad_norm': 42.77802658081055, 'learning_rate': 2.98e-05, 'epoch': 0.05}
{'loss': 3.5392, 'grad_norm': 60.1673698425293, 'learning_rate': 3.18e-05, 'epoch': 0.05}
{'loss': 3.1598, 'grad_norm': 56.89411544799805, 'learning_rate': 3.38e-05, 'epoch': 0.06}
{'loss': 2.8245, 'grad_norm': 29.468793869018555, 'learning_rate': 3.58e-05, 'epoch': 0.06}
{'loss': 3.1589, 'grad_norm': 17.115129470825195, 'learning_rate': 3.7800000000000004e-05, 'epoch': 0.06}
{'loss': 3.2298, 'grad_norm': 19.43988609313965, 'learning_rate': 3.9800000000000005e-05, 'epoch': 0.07}
{'loss': 3.0543, 'grad_norm': 14.10439682006836, 'learning_rate': 4.18e-05, 'epoch': 0.07}
{'loss': 3.2753, 'grad_norm': 49.70375061035156, 'learning_rate': 4.38e-05, 'epoch': 0.07}
{'loss': 2.9208, 'grad_norm': 40.31144332885742, 'learning_rate': 4.58e-05, 'epoch': 0.08}
{'loss': 2.761, 'grad_norm': 11.305741310119629, 'learning_rate': 4.78e-05, 'epoch': 0.08}
{'loss': 2.6069, 'grad_norm': 54.80555725097656, 'learning_rate': 4.9800000000000004e-05, 'epoch': 0.08}
{'loss': 3.3779, 'grad_norm': 17.047012329101562, 'learning_rate': 5.1800000000000005e-05, 'epoch': 0.09}
{'loss': 2.7218, 'grad_norm': 11.08619213104248, 'learning_rate': 5.380000000000001e-05, 'epoch': 0.09}
{'loss': 2.8426, 'grad_norm': 22.94760513305664, 'learning_rate': 5.580000000000001e-05, 'epoch': 0.09}
{'loss': 2.9185, 'grad_norm': 26.227724075317383, 'learning_rate': 5.7799999999999995e-05, 'epoch': 0.1}
{'loss': 2.7797, 'grad_norm': 18.19388198852539, 'learning_rate': 5.9800000000000003e-05, 'epoch': 0.1}
{'loss': 2.275, 'grad_norm': 23.981613159179688, 'learning_rate': 6.18e-05, 'epoch': 0.1}
{'loss': 2.2362, 'grad_norm': 12.372817039489746, 'learning_rate': 6.38e-05, 'epoch': 0.1}
{'loss': 2.4894, 'grad_norm': 64.82980346679688, 'learning_rate': 6.58e-05, 'epoch': 0.11}
{'loss': 2.1447, 'grad_norm': 7.752956867218018, 'learning_rate': 6.780000000000001e-05, 'epoch': 0.11}
{'loss': 2.3852, 'grad_norm': 13.687182426452637, 'learning_rate': 6.98e-05, 'epoch': 0.11}
{'loss': 2.5406, 'grad_norm': 59.88481903076172, 'learning_rate': 7.18e-05, 'epoch': 0.12}
{'loss': 2.6746, 'grad_norm': 18.98492431640625, 'learning_rate': 7.38e-05, 'epoch': 0.12}
{'loss': 2.4306, 'grad_norm': 23.347938537597656, 'learning_rate': 7.58e-05, 'epoch': 0.12}
{'loss': 2.4805, 'grad_norm': 6.946656703948975, 'learning_rate': 7.780000000000001e-05, 'epoch': 0.13}
{'loss': 2.1438, 'grad_norm': 50.05573654174805, 'learning_rate': 7.98e-05, 'epoch': 0.13}
{'loss': 2.2396, 'grad_norm': 54.592960357666016, 'learning_rate': 8.18e-05, 'epoch': 0.13}
{'loss': 2.1119, 'grad_norm': 17.31186294555664, 'learning_rate': 8.38e-05, 'epoch': 0.14}
{'loss': 2.1795, 'grad_norm': 16.230676651000977, 'learning_rate': 8.58e-05, 'epoch': 0.14}
{'loss': 2.2737, 'grad_norm': 20.323646545410156, 'learning_rate': 8.78e-05, 'epoch': 0.14}
{'loss': 1.7475, 'grad_norm': 12.962712287902832, 'learning_rate': 8.98e-05, 'epoch': 0.15}
{'loss': 1.9929, 'grad_norm': 25.21596908569336, 'learning_rate': 9.180000000000001e-05, 'epoch': 0.15}
{'loss': 2.0042, 'grad_norm': 10.77156925201416, 'learning_rate': 9.38e-05, 'epoch': 0.15}
{'loss': 1.8183, 'grad_norm': 8.954565048217773, 'learning_rate': 9.58e-05, 'epoch': 0.16}
{'loss': 1.8819, 'grad_norm': 10.957666397094727, 'learning_rate': 9.78e-05, 'epoch': 0.16}
{'loss': 2.1147, 'grad_norm': 15.429010391235352, 'learning_rate': 9.98e-05, 'epoch': 0.16}
{'loss': 1.9796, 'grad_norm': 15.201794624328613, 'learning_rate': 9.9999778549206e-05, 'epoch': 0.17}
{'loss': 1.9339, 'grad_norm': 10.697376251220703, 'learning_rate': 9.999901304280685e-05, 'epoch': 0.17}
{'loss': 1.8807, 'grad_norm': 7.987926959991455, 'learning_rate': 9.999770075521164e-05, 'epoch': 0.17}
{'loss': 1.6582, 'grad_norm': 9.820209503173828, 'learning_rate': 9.99958417007713e-05, 'epoch': 0.18}
{'loss': 1.8105, 'grad_norm': 15.93075942993164, 'learning_rate': 9.999343589981615e-05, 'epoch': 0.18}
{'loss': 2.3304, 'grad_norm': 33.53780746459961, 'learning_rate': 9.999048337865568e-05, 'epoch': 0.18}
{'loss': 1.8067, 'grad_norm': 12.926688194274902, 'learning_rate': 9.998698416957815e-05, 'epoch': 0.19}
{'loss': 1.8674, 'grad_norm': 9.575160026550293, 'learning_rate': 9.998293831085037e-05, 'epoch': 0.19}
{'loss': 1.9547, 'grad_norm': 6.82380485534668, 'learning_rate': 9.997834584671719e-05, 'epoch': 0.19}
{'loss': 1.7775, 'grad_norm': 6.143815517425537, 'learning_rate': 9.997320682740107e-05, 'epoch': 0.2}
{'loss': 1.7923, 'grad_norm': 13.860651016235352, 'learning_rate': 9.996752130910149e-05, 'epoch': 0.2}
{'loss': 1.8053, 'grad_norm': 16.864334106445312, 'learning_rate': 9.99612893539944e-05, 'epoch': 0.2}
{'loss': 1.7522, 'grad_norm': 14.370810508728027, 'learning_rate': 9.995451103023144e-05, 'epoch': 0.21}
{'loss': 1.8231, 'grad_norm': 5.195824146270752, 'learning_rate': 9.994718641193928e-05, 'epoch': 0.21}
{'loss': 1.6998, 'grad_norm': 23.000560760498047, 'learning_rate': 9.993931557921874e-05, 'epoch': 0.21}
{'loss': 1.8809, 'grad_norm': 10.461851119995117, 'learning_rate': 9.993089861814402e-05, 'epoch': 0.22}
{'loss': 2.2536, 'grad_norm': 10.930794715881348, 'learning_rate': 9.992193562076166e-05, 'epoch': 0.22}
{'loss': 2.2319, 'grad_norm': 8.964436531066895, 'learning_rate': 9.991242668508954e-05, 'epoch': 0.22}
{'loss': 1.6973, 'grad_norm': 9.507253646850586, 'learning_rate': 9.990237191511587e-05, 'epoch': 0.23}
{'loss': 1.8941, 'grad_norm': 14.68272876739502, 'learning_rate': 9.989177142079802e-05, 'epoch': 0.23}
{'loss': 1.6333, 'grad_norm': 11.575984001159668, 'learning_rate': 9.988062531806126e-05, 'epoch': 0.23}
{'loss': 1.6767, 'grad_norm': 8.44263744354248, 'learning_rate': 9.986893372879762e-05, 'epoch': 0.24}
{'loss': 1.6805, 'grad_norm': 12.734649658203125, 'learning_rate': 9.985669678086443e-05, 'epoch': 0.24}
{'loss': 1.9986, 'grad_norm': 6.196068286895752, 'learning_rate': 9.984391460808298e-05, 'epoch': 0.24}
{'loss': 2.2048, 'grad_norm': 20.598527908325195, 'learning_rate': 9.983058735023709e-05, 'epoch': 0.25}
{'loss': 1.5512, 'grad_norm': 7.55290412902832, 'learning_rate': 9.98167151530715e-05, 'epoch': 0.25}
{'loss': 2.0099, 'grad_norm': 19.964740753173828, 'learning_rate': 9.980229816829034e-05, 'epoch': 0.25}
{'loss': 1.6539, 'grad_norm': 7.7834038734436035, 'learning_rate': 9.978733655355544e-05, 'epoch': 0.26}
{'loss': 1.8613, 'grad_norm': 16.703067779541016, 'learning_rate': 9.977183047248464e-05, 'epoch': 0.26}
{'loss': 1.669, 'grad_norm': 5.765732288360596, 'learning_rate': 9.975578009464992e-05, 'epoch': 0.26}
{'loss': 1.4851, 'grad_norm': 10.463592529296875, 'learning_rate': 9.97391855955757e-05, 'epoch': 0.27}
{'loss': 1.6974, 'grad_norm': 21.011056900024414, 'learning_rate': 9.972204715673669e-05, 'epoch': 0.27}
{'loss': 1.5306, 'grad_norm': 8.665694236755371, 'learning_rate': 9.970436496555617e-05, 'epoch': 0.27}
{'loss': 1.4953, 'grad_norm': 4.50322151184082, 'learning_rate': 9.968613921540373e-05, 'epoch': 0.28}
{'loss': 1.6564, 'grad_norm': 16.944046020507812, 'learning_rate': 9.966737010559326e-05, 'epoch': 0.28}
{'loss': 1.678, 'grad_norm': 10.47323226928711, 'learning_rate': 9.964805784138072e-05, 'epoch': 0.28}
{'loss': 1.5494, 'grad_norm': 12.19394302368164, 'learning_rate': 9.962820263396195e-05, 'epoch': 0.29}
{'loss': 1.3951, 'grad_norm': 7.648244380950928, 'learning_rate': 9.960780470047033e-05, 'epoch': 0.29}
{'loss': 1.4562, 'grad_norm': 11.872659683227539, 'learning_rate': 9.958686426397437e-05, 'epoch': 0.29}
{'loss': 1.5925, 'grad_norm': 6.4485344886779785, 'learning_rate': 9.956538155347534e-05, 'epoch': 0.29}
{'loss': 1.5887, 'grad_norm': 16.371187210083008, 'learning_rate': 9.95433568039047e-05, 'epoch': 0.3}
{'loss': 1.7048, 'grad_norm': 11.33675765991211, 'learning_rate': 9.952079025612162e-05, 'epoch': 0.3}
{'loss': 1.4232, 'grad_norm': 6.276947498321533, 'learning_rate': 9.949768215691022e-05, 'epoch': 0.3}
{'loss': 1.4195, 'grad_norm': 12.241730690002441, 'learning_rate': 9.9474032758977e-05, 'epoch': 0.31}
