  0%|          | 0/10000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                    
{'loss': 6.6243, 'grad_norm': 3.2392516136169434, 'learning_rate': 1.8e-06, 'epoch': 0.0}
{'loss': 9.7861, 'grad_norm': 9.858792304992676, 'learning_rate': 3.8e-06, 'epoch': 0.01}
{'loss': 12.2635, 'grad_norm': 5.605739593505859, 'learning_rate': 5.8e-06, 'epoch': 0.01}
{'loss': 11.5386, 'grad_norm': 8.386963844299316, 'learning_rate': 7.8e-06, 'epoch': 0.01}
{'loss': 10.9456, 'grad_norm': 9.983902931213379, 'learning_rate': 9.800000000000001e-06, 'epoch': 0.02}
{'loss': 9.92, 'grad_norm': 13.729448318481445, 'learning_rate': 1.18e-05, 'epoch': 0.02}
{'loss': 9.1982, 'grad_norm': 18.230459213256836, 'learning_rate': 1.3800000000000002e-05, 'epoch': 0.02}
{'loss': 8.4796, 'grad_norm': 29.024456024169922, 'learning_rate': 1.58e-05, 'epoch': 0.03}
{'loss': 9.4451, 'grad_norm': 15.057269096374512, 'learning_rate': 1.78e-05, 'epoch': 0.03}
{'loss': 5.8722, 'grad_norm': 23.521934509277344, 'learning_rate': 1.9800000000000004e-05, 'epoch': 0.03}
{'loss': 4.8927, 'grad_norm': 17.032001495361328, 'learning_rate': 2.18e-05, 'epoch': 0.04}
{'loss': 4.6716, 'grad_norm': 23.37354278564453, 'learning_rate': 2.38e-05, 'epoch': 0.04}
{'loss': 3.8855, 'grad_norm': 30.59452247619629, 'learning_rate': 2.58e-05, 'epoch': 0.04}
{'loss': 3.5237, 'grad_norm': 17.57826042175293, 'learning_rate': 2.7800000000000005e-05, 'epoch': 0.05}
{'loss': 4.0641, 'grad_norm': 46.39546585083008, 'learning_rate': 2.98e-05, 'epoch': 0.05}
{'loss': 3.4668, 'grad_norm': 156.02023315429688, 'learning_rate': 3.18e-05, 'epoch': 0.05}
{'loss': 3.3454, 'grad_norm': 61.00061798095703, 'learning_rate': 3.38e-05, 'epoch': 0.06}
{'loss': 3.2264, 'grad_norm': 16.84287452697754, 'learning_rate': 3.58e-05, 'epoch': 0.06}
{'loss': 3.5864, 'grad_norm': 20.57358169555664, 'learning_rate': 3.7800000000000004e-05, 'epoch': 0.06}
{'loss': 3.2069, 'grad_norm': 18.831607818603516, 'learning_rate': 3.9800000000000005e-05, 'epoch': 0.07}
{'loss': 3.1331, 'grad_norm': 8.905803680419922, 'learning_rate': 4.18e-05, 'epoch': 0.07}
{'loss': 3.4827, 'grad_norm': 30.131410598754883, 'learning_rate': 4.38e-05, 'epoch': 0.07}
{'loss': 2.9438, 'grad_norm': 36.6015625, 'learning_rate': 4.58e-05, 'epoch': 0.08}
{'loss': 2.7503, 'grad_norm': 11.08923625946045, 'learning_rate': 4.78e-05, 'epoch': 0.08}
{'loss': 2.3553, 'grad_norm': 16.212913513183594, 'learning_rate': 4.9800000000000004e-05, 'epoch': 0.08}
{'loss': 3.2941, 'grad_norm': 18.506914138793945, 'learning_rate': 5.1800000000000005e-05, 'epoch': 0.09}
{'loss': 2.7387, 'grad_norm': 6.6429877281188965, 'learning_rate': 5.380000000000001e-05, 'epoch': 0.09}
{'loss': 2.8537, 'grad_norm': 16.973299026489258, 'learning_rate': 5.580000000000001e-05, 'epoch': 0.09}
{'loss': 2.4553, 'grad_norm': 47.13275909423828, 'learning_rate': 5.7799999999999995e-05, 'epoch': 0.1}
