  0%|          | 0/30000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                     
{'loss': 6.6292, 'grad_norm': 3.2517287731170654, 'learning_rate': 6.000000000000001e-07, 'epoch': 0.0}
{'loss': 9.8096, 'grad_norm': 10.194232940673828, 'learning_rate': 1.2666666666666667e-06, 'epoch': 0.01}
{'loss': 12.3482, 'grad_norm': 5.796483039855957, 'learning_rate': 1.9333333333333336e-06, 'epoch': 0.01}
{'loss': 11.743, 'grad_norm': 6.27534818649292, 'learning_rate': 2.6e-06, 'epoch': 0.01}
{'loss': 11.3337, 'grad_norm': 6.488438129425049, 'learning_rate': 3.2666666666666666e-06, 'epoch': 0.02}
{'loss': 10.5637, 'grad_norm': 8.134922981262207, 'learning_rate': 3.9333333333333335e-06, 'epoch': 0.02}
{'loss': 10.3164, 'grad_norm': 10.744075775146484, 'learning_rate': 4.6e-06, 'epoch': 0.02}
{'loss': 10.0596, 'grad_norm': 16.449766159057617, 'learning_rate': 5.266666666666667e-06, 'epoch': 0.03}
{'loss': 12.0842, 'grad_norm': 12.601765632629395, 'learning_rate': 5.933333333333334e-06, 'epoch': 0.03}
{'loss': 8.5027, 'grad_norm': 15.395992279052734, 'learning_rate': 6.6e-06, 'epoch': 0.03}
{'loss': 7.9828, 'grad_norm': 14.487799644470215, 'learning_rate': 7.266666666666668e-06, 'epoch': 0.04}
{'loss': 8.6172, 'grad_norm': 29.816314697265625, 'learning_rate': 7.933333333333334e-06, 'epoch': 0.04}
{'loss': 9.2258, 'grad_norm': 27.5675106048584, 'learning_rate': 8.599999999999999e-06, 'epoch': 0.04}
{'loss': 7.4366, 'grad_norm': 23.050861358642578, 'learning_rate': 9.266666666666667e-06, 'epoch': 0.05}
{'loss': 8.6218, 'grad_norm': 56.64488983154297, 'learning_rate': 9.933333333333334e-06, 'epoch': 0.05}
