  0%|          | 0/30000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                     
{'loss': 6.5855, 'grad_norm': 3.2526087760925293, 'learning_rate': 6.000000000000001e-07, 'epoch': 0.0}
{'loss': 9.7326, 'grad_norm': 8.879229545593262, 'learning_rate': 1.2666666666666667e-06, 'epoch': 0.01}
{'loss': 12.2442, 'grad_norm': 4.420388221740723, 'learning_rate': 1.9333333333333336e-06, 'epoch': 0.01}
{'loss': 11.6482, 'grad_norm': 5.01104736328125, 'learning_rate': 2.6e-06, 'epoch': 0.01}
{'loss': 11.2499, 'grad_norm': 5.279336452484131, 'learning_rate': 3.2666666666666666e-06, 'epoch': 0.02}
{'loss': 10.488, 'grad_norm': 6.105383396148682, 'learning_rate': 3.9333333333333335e-06, 'epoch': 0.02}
{'loss': 10.2748, 'grad_norm': 8.153878211975098, 'learning_rate': 4.6e-06, 'epoch': 0.02}
{'loss': 10.025, 'grad_norm': 12.795951843261719, 'learning_rate': 5.266666666666667e-06, 'epoch': 0.03}
{'loss': 12.0527, 'grad_norm': 10.361711502075195, 'learning_rate': 5.933333333333334e-06, 'epoch': 0.03}
{'loss': 8.4077, 'grad_norm': 12.78995418548584, 'learning_rate': 6.6e-06, 'epoch': 0.03}
{'loss': 7.8995, 'grad_norm': 9.970572471618652, 'learning_rate': 7.266666666666668e-06, 'epoch': 0.04}
{'loss': 8.4515, 'grad_norm': 23.88573455810547, 'learning_rate': 7.933333333333334e-06, 'epoch': 0.04}
{'loss': 8.93, 'grad_norm': 24.89107322692871, 'learning_rate': 8.599999999999999e-06, 'epoch': 0.04}
{'loss': 7.0775, 'grad_norm': 22.583782196044922, 'learning_rate': 9.266666666666667e-06, 'epoch': 0.05}
{'loss': 8.1736, 'grad_norm': 54.86016082763672, 'learning_rate': 9.933333333333334e-06, 'epoch': 0.05}
{'loss': 5.6804, 'grad_norm': 46.15544509887695, 'learning_rate': 1.06e-05, 'epoch': 0.05}
