  0%|          | 0/10000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                   
{'loss': 31202279738572.8, 'grad_norm': 73045072.0, 'learning_rate': 1.8e-06, 'epoch': 0.0}
{'loss': 35039101530931.2, 'grad_norm': 73709432.0, 'learning_rate': 3.8e-06, 'epoch': 0.01}
{'loss': 31704760713216.0, 'grad_norm': 53001628.0, 'learning_rate': 5.8e-06, 'epoch': 0.01}
{'loss': 28444481237811.2, 'grad_norm': 51203136.0, 'learning_rate': 7.8e-06, 'epoch': 0.02}
{'loss': 29177544913715.2, 'grad_norm': 74472000.0, 'learning_rate': 9.800000000000001e-06, 'epoch': 0.02}
{'loss': 32321789807820.8, 'grad_norm': 72444720.0, 'learning_rate': 1.18e-05, 'epoch': 0.03}
{'loss': 32690948957798.4, 'grad_norm': 89100896.0, 'learning_rate': 1.3800000000000002e-05, 'epoch': 0.03}
{'loss': 32074825832857.6, 'grad_norm': 101085888.0, 'learning_rate': 1.58e-05, 'epoch': 0.04}
{'loss': 29406657930854.4, 'grad_norm': 105875584.0, 'learning_rate': 1.78e-05, 'epoch': 0.04}
{'loss': 32910774108160.0, 'grad_norm': 191259952.0, 'learning_rate': 1.9800000000000004e-05, 'epoch': 0.05}
{'loss': 35129611255808.0, 'grad_norm': 291032928.0, 'learning_rate': 2.18e-05, 'epoch': 0.05}
{'loss': 33534483890176.0, 'grad_norm': 564556608.0, 'learning_rate': 2.38e-05, 'epoch': 0.06}
{'loss': 32130542967193.6, 'grad_norm': 567615360.0, 'learning_rate': 2.58e-05, 'epoch': 0.06}
{'loss': 28657092185292.8, 'grad_norm': 1364123520.0, 'learning_rate': 2.7800000000000005e-05, 'epoch': 0.07}
{'loss': 30376646095667.2, 'grad_norm': 1283223424.0, 'learning_rate': 2.98e-05, 'epoch': 0.07}
{'loss': 31586870571827.2, 'grad_norm': 3560584192.0, 'learning_rate': 3.18e-05, 'epoch': 0.08}
{'loss': 31500639037030.4, 'grad_norm': 4981556224.0, 'learning_rate': 3.38e-05, 'epoch': 0.08}
{'loss': 32914461740236.8, 'grad_norm': 6645168640.0, 'learning_rate': 3.58e-05, 'epoch': 0.09}
{'loss': 36101069104742.4, 'grad_norm': 19456407552.0, 'learning_rate': 3.7800000000000004e-05, 'epoch': 0.09}
{'loss': 34193845256192.0, 'grad_norm': 27320078336.0, 'learning_rate': 3.9800000000000005e-05, 'epoch': 0.1}
{'loss': 33275547693875.2, 'grad_norm': 30582837248.0, 'learning_rate': 4.18e-05, 'epoch': 0.1}
{'loss': 29625879101440.0, 'grad_norm': 41219796992.0, 'learning_rate': 4.38e-05, 'epoch': 0.11}
{'loss': 33398215986380.8, 'grad_norm': 79049908224.0, 'learning_rate': 4.58e-05, 'epoch': 0.11}
{'loss': 30356328887091.2, 'grad_norm': 120024260608.0, 'learning_rate': 4.78e-05, 'epoch': 0.12}
{'loss': 28757644751667.2, 'grad_norm': 121788317696.0, 'learning_rate': 4.9800000000000004e-05, 'epoch': 0.12}
{'loss': 31798588971417.6, 'grad_norm': 274624741376.0, 'learning_rate': 5.1800000000000005e-05, 'epoch': 0.13}
{'loss': 34310534148915.2, 'grad_norm': 376593121280.0, 'learning_rate': 5.380000000000001e-05, 'epoch': 0.13}
{'loss': 34622050140160.0, 'grad_norm': 384003407872.0, 'learning_rate': 5.580000000000001e-05, 'epoch': 0.14}
{'loss': 30622861806796.8, 'grad_norm': 333556056064.0, 'learning_rate': 5.7799999999999995e-05, 'epoch': 0.14}
{'loss': 32422550411673.6, 'grad_norm': 507099447296.0, 'learning_rate': 5.9800000000000003e-05, 'epoch': 0.15}
{'loss': 33659846603571.2, 'grad_norm': 996812390400.0, 'learning_rate': 6.18e-05, 'epoch': 0.15}
{'loss': 32784743661568.0, 'grad_norm': 1847381852160.0, 'learning_rate': 6.38e-05, 'epoch': 0.16}
{'loss': 30052899513958.4, 'grad_norm': 2043409727488.0, 'learning_rate': 6.58e-05, 'epoch': 0.16}
{'loss': 30221164924108.8, 'grad_norm': 1808734486528.0, 'learning_rate': 6.780000000000001e-05, 'epoch': 0.17}
{'loss': 30736218744422.4, 'grad_norm': 3990867410944.0, 'learning_rate': 6.98e-05, 'epoch': 0.17}
{'loss': 34715636806451.2, 'grad_norm': 4736295108608.0, 'learning_rate': 7.18e-05, 'epoch': 0.18}
{'loss': 29758150672384.0, 'grad_norm': 4448425869312.0, 'learning_rate': 7.38e-05, 'epoch': 0.18}
{'loss': 31703354782515.2, 'grad_norm': 4929147633664.0, 'learning_rate': 7.58e-05, 'epoch': 0.19}
{'loss': 27637319309721.6, 'grad_norm': 3707904983040.0, 'learning_rate': 7.780000000000001e-05, 'epoch': 0.19}
{'loss': 29655282850201.6, 'grad_norm': 11224437751808.0, 'learning_rate': 7.98e-05, 'epoch': 0.2}
{'loss': 24047161180160.0, 'grad_norm': 9814504636416.0, 'learning_rate': 8.18e-05, 'epoch': 0.2}
{'loss': 24834650144768.0, 'grad_norm': 7378910576640.0, 'learning_rate': 8.38e-05, 'epoch': 0.21}
{'loss': 27218893864960.0, 'grad_norm': 15223617486848.0, 'learning_rate': 8.58e-05, 'epoch': 0.21}
{'loss': 21690591477760.0, 'grad_norm': 13413080104960.0, 'learning_rate': 8.78e-05, 'epoch': 0.22}
{'loss': 20068023297638.4, 'grad_norm': 18122520133632.0, 'learning_rate': 8.98e-05, 'epoch': 0.22}
{'loss': 18401102869299.2, 'grad_norm': 14252817514496.0, 'learning_rate': 9.180000000000001e-05, 'epoch': 0.23}
{'loss': 16046336717619.2, 'grad_norm': 24729427640320.0, 'learning_rate': 9.38e-05, 'epoch': 0.23}
{'loss': 13377769517875.2, 'grad_norm': 29430984474624.0, 'learning_rate': 9.58e-05, 'epoch': 0.24}
{'loss': 9851086307328.0, 'grad_norm': 18390504701952.0, 'learning_rate': 9.78e-05, 'epoch': 0.24}
{'loss': 7507762216960.0, 'grad_norm': 79844658380800.0, 'learning_rate': 9.98e-05, 'epoch': 0.25}
{'loss': 3847466097049.6, 'grad_norm': 35150549221376.0, 'learning_rate': 9.9999778549206e-05, 'epoch': 0.25}
{'loss': 1442167704780.8, 'grad_norm': 6466787868672.0, 'learning_rate': 9.999901304280685e-05, 'epoch': 0.26}
{'loss': 426938020659.2, 'grad_norm': 1317576769536.0, 'learning_rate': 9.999770075521164e-05, 'epoch': 0.26}
{'loss': 608399943270.4, 'grad_norm': 14375412826112.0, 'learning_rate': 9.99958417007713e-05, 'epoch': 0.27}
{'loss': 588527697920.0, 'grad_norm': 5678178500608.0, 'learning_rate': 9.999343589981615e-05, 'epoch': 0.27}
{'loss': 353775019622.4, 'grad_norm': 1989377130496.0, 'learning_rate': 9.999048337865568e-05, 'epoch': 0.28}
{'loss': 272109037158.4, 'grad_norm': 5236786724864.0, 'learning_rate': 9.998698416957815e-05, 'epoch': 0.28}
{'loss': 169523989708.8, 'grad_norm': 9526053961728.0, 'learning_rate': 9.998293831085037e-05, 'epoch': 0.29}
{'loss': 172322036121.6, 'grad_norm': 2579821756416.0, 'learning_rate': 9.997834584671719e-05, 'epoch': 0.29}
{'loss': 350930993152.0, 'grad_norm': 12217004064768.0, 'learning_rate': 9.997320682740107e-05, 'epoch': 0.29}
{'loss': 350288006348.8, 'grad_norm': 2486962487296.0, 'learning_rate': 9.996752130910149e-05, 'epoch': 0.3}
{'loss': 110161808588.8, 'grad_norm': 1771960926208.0, 'learning_rate': 9.99612893539944e-05, 'epoch': 0.3}
{'loss': 70148017356.8, 'grad_norm': 1086180032512.0, 'learning_rate': 9.995451103023144e-05, 'epoch': 0.31}
{'loss': 81877290188.8, 'grad_norm': 4892936110080.0, 'learning_rate': 9.994718641193928e-05, 'epoch': 0.31}
{'loss': 55348618854.4, 'grad_norm': 2025795485696.0, 'learning_rate': 9.993931557921874e-05, 'epoch': 0.32}
{'loss': 92952251596.8, 'grad_norm': 10597712265216.0, 'learning_rate': 9.993089861814402e-05, 'epoch': 0.32}
{'loss': 43478148710.4, 'grad_norm': 1070412201984.0, 'learning_rate': 9.992193562076166e-05, 'epoch': 0.33}
{'loss': 305916123545.6, 'grad_norm': 404411318272.0, 'learning_rate': 9.991242668508954e-05, 'epoch': 0.33}
{'loss': 43368598732.8, 'grad_norm': 2400394412032.0, 'learning_rate': 9.990237191511587e-05, 'epoch': 0.34}
{'loss': 45911464345.6, 'grad_norm': 474336188170240.0, 'learning_rate': 9.989177142079802e-05, 'epoch': 0.34}
{'loss': 333526990848.0, 'grad_norm': 9295935569920.0, 'learning_rate': 9.988062531806126e-05, 'epoch': 0.35}
{'loss': 250956742656.0, 'grad_norm': 60596720500736.0, 'learning_rate': 9.986893372879762e-05, 'epoch': 0.35}
{'loss': 87686879641.6, 'grad_norm': 1.644421644812288e+16, 'learning_rate': 9.985669678086443e-05, 'epoch': 0.36}
{'loss': 339175119257.6, 'grad_norm': 1.2056437743534735e+18, 'learning_rate': 9.984391460808298e-05, 'epoch': 0.36}
{'loss': 67535909683.2, 'grad_norm': inf, 'learning_rate': 9.983058735023709e-05, 'epoch': 0.37}
{'loss': 331893519155.2, 'grad_norm': 1398878230282240.0, 'learning_rate': 9.98167151530715e-05, 'epoch': 0.37}
{'loss': 338999456563.2, 'grad_norm': inf, 'learning_rate': 9.980229816829034e-05, 'epoch': 0.38}
