  0%|          | 0/10000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                    
{'loss': 31202279738572.8, 'grad_norm': 80018272.0, 'learning_rate': 1.8e-06, 'epoch': 0.0}
{'loss': 35039101530931.2, 'grad_norm': 80720192.0, 'learning_rate': 3.8e-06, 'epoch': 0.01}
{'loss': 31704760713216.0, 'grad_norm': 58937428.0, 'learning_rate': 5.8e-06, 'epoch': 0.01}
{'loss': 28444474526924.8, 'grad_norm': 60678204.0, 'learning_rate': 7.8e-06, 'epoch': 0.02}
{'loss': 29177541558272.0, 'grad_norm': 91611328.0, 'learning_rate': 9.800000000000001e-06, 'epoch': 0.02}
{'loss': 32321789807820.8, 'grad_norm': 93804904.0, 'learning_rate': 1.18e-05, 'epoch': 0.03}
{'loss': 32690942246912.0, 'grad_norm': 118502888.0, 'learning_rate': 1.3800000000000002e-05, 'epoch': 0.03}
{'loss': 32074822477414.4, 'grad_norm': 134257056.0, 'learning_rate': 1.58e-05, 'epoch': 0.04}
{'loss': 29406654575411.2, 'grad_norm': 138992928.0, 'learning_rate': 1.78e-05, 'epoch': 0.04}
{'loss': 32910767397273.6, 'grad_norm': 246145552.0, 'learning_rate': 1.9800000000000004e-05, 'epoch': 0.05}
{'loss': 35129601189478.4, 'grad_norm': 364932928.0, 'learning_rate': 2.18e-05, 'epoch': 0.05}
{'loss': 33534470468403.2, 'grad_norm': 687951296.0, 'learning_rate': 2.38e-05, 'epoch': 0.06}
{'loss': 32130522834534.4, 'grad_norm': 674213056.0, 'learning_rate': 2.58e-05, 'epoch': 0.06}
{'loss': 28657072052633.6, 'grad_norm': 1586851200.0, 'learning_rate': 2.7800000000000005e-05, 'epoch': 0.07}
{'loss': 30376602474905.6, 'grad_norm': 1460255872.0, 'learning_rate': 2.98e-05, 'epoch': 0.07}
{'loss': 31586796752076.8, 'grad_norm': 4006447104.0, 'learning_rate': 3.18e-05, 'epoch': 0.08}
{'loss': 31500501463859.2, 'grad_norm': 5568650240.0, 'learning_rate': 3.38e-05, 'epoch': 0.08}
{'loss': 32914216792883.2, 'grad_norm': 7408546304.0, 'learning_rate': 3.58e-05, 'epoch': 0.09}
{'loss': 36100589276364.8, 'grad_norm': 21615788032.0, 'learning_rate': 3.7800000000000004e-05, 'epoch': 0.09}
{'loss': 34193066793369.6, 'grad_norm': 30359191552.0, 'learning_rate': 3.9800000000000005e-05, 'epoch': 0.1}
{'loss': 33274292758118.4, 'grad_norm': 34028951552.0, 'learning_rate': 4.18e-05, 'epoch': 0.1}
{'loss': 29624063806668.8, 'grad_norm': 46177574912.0, 'learning_rate': 4.38e-05, 'epoch': 0.11}
{'loss': 33394947784704.0, 'grad_norm': 88280211456.0, 'learning_rate': 4.58e-05, 'epoch': 0.11}
{'loss': 30351748707123.2, 'grad_norm': 134617038848.0, 'learning_rate': 4.78e-05, 'epoch': 0.12}
{'loss': 28751192234393.6, 'grad_norm': 136198111232.0, 'learning_rate': 4.9800000000000004e-05, 'epoch': 0.12}
{'loss': 31788311248896.0, 'grad_norm': 307541409792.0, 'learning_rate': 5.1800000000000005e-05, 'epoch': 0.13}
{'loss': 34294676324352.0, 'grad_norm': 422146965504.0, 'learning_rate': 5.380000000000001e-05, 'epoch': 0.13}
{'loss': 34598776786124.8, 'grad_norm': 432258121728.0, 'learning_rate': 5.580000000000001e-05, 'epoch': 0.14}
{'loss': 30593827156787.2, 'grad_norm': 375277453312.0, 'learning_rate': 5.7799999999999995e-05, 'epoch': 0.14}
{'loss': 32380661058764.8, 'grad_norm': 635602075648.0, 'learning_rate': 5.9800000000000003e-05, 'epoch': 0.15}
{'loss': 33603132902604.8, 'grad_norm': 1114445185024.0, 'learning_rate': 6.18e-05, 'epoch': 0.15}
{'loss': 32713645175603.2, 'grad_norm': 2054244794368.0, 'learning_rate': 6.38e-05, 'epoch': 0.16}
{'loss': 29968285302784.0, 'grad_norm': 2266180878336.0, 'learning_rate': 6.58e-05, 'epoch': 0.16}
{'loss': 30111535883878.4, 'grad_norm': 1998752317440.0, 'learning_rate': 6.780000000000001e-05, 'epoch': 0.17}
{'loss': 30588421537792.0, 'grad_norm': 4406856646656.0, 'learning_rate': 6.98e-05, 'epoch': 0.17}
{'loss': 34509495153459.2, 'grad_norm': 5212942106624.0, 'learning_rate': 7.18e-05, 'epoch': 0.18}
{'loss': 29531282446745.6, 'grad_norm': 4699015610368.0, 'learning_rate': 7.38e-05, 'epoch': 0.18}
{'loss': 31396818268979.2, 'grad_norm': 5402267222016.0, 'learning_rate': 7.58e-05, 'epoch': 0.19}
{'loss': 27308566406758.4, 'grad_norm': 4017625497600.0, 'learning_rate': 7.780000000000001e-05, 'epoch': 0.19}
{'loss': 29213199853158.4, 'grad_norm': 12118682238976.0, 'learning_rate': 7.98e-05, 'epoch': 0.2}
{'loss': 23615701516288.0, 'grad_norm': 10559855525888.0, 'learning_rate': 8.18e-05, 'epoch': 0.2}
{'loss': 24276222187929.6, 'grad_norm': 6971518353408.0, 'learning_rate': 8.38e-05, 'epoch': 0.21}
{'loss': 26458585667993.6, 'grad_norm': 16170851762176.0, 'learning_rate': 8.58e-05, 'epoch': 0.21}
{'loss': 20935999278284.8, 'grad_norm': 14156493225984.0, 'learning_rate': 8.78e-05, 'epoch': 0.22}
{'loss': 19201667996057.6, 'grad_norm': 18988272713728.0, 'learning_rate': 8.98e-05, 'epoch': 0.22}
{'loss': 17379122112102.4, 'grad_norm': 14832153657344.0, 'learning_rate': 9.180000000000001e-05, 'epoch': 0.23}
{'loss': 14911844594483.2, 'grad_norm': 25346502033408.0, 'learning_rate': 9.38e-05, 'epoch': 0.23}
{'loss': 12107764465664.0, 'grad_norm': 29620244054016.0, 'learning_rate': 9.58e-05, 'epoch': 0.24}
{'loss': 8592675150233.6, 'grad_norm': 17975377657856.0, 'learning_rate': 9.78e-05, 'epoch': 0.24}
{'loss': 6166792896512.0, 'grad_norm': 63698848710656.0, 'learning_rate': 9.98e-05, 'epoch': 0.25}
{'loss': 2795313614028.8, 'grad_norm': 13650692669440.0, 'learning_rate': 9.9999778549206e-05, 'epoch': 0.25}
{'loss': 798643925811.2, 'grad_norm': 3336821014528.0, 'learning_rate': 9.999901304280685e-05, 'epoch': 0.26}
{'loss': 323691007180.8, 'grad_norm': 2812567879680.0, 'learning_rate': 9.999770075521164e-05, 'epoch': 0.26}
{'loss': 345567500697.6, 'grad_norm': 11115447713792.0, 'learning_rate': 9.99958417007713e-05, 'epoch': 0.27}
{'loss': 448013480755.2, 'grad_norm': 6719657213952.0, 'learning_rate': 9.999343589981615e-05, 'epoch': 0.27}
{'loss': 210290357043.2, 'grad_norm': 1096361246720.0, 'learning_rate': 9.999048337865568e-05, 'epoch': 0.28}
{'loss': 150821509529.6, 'grad_norm': 2001526456320.0, 'learning_rate': 9.998698416957815e-05, 'epoch': 0.28}
{'loss': 124426295705.6, 'grad_norm': 1589024653312.0, 'learning_rate': 9.998293831085037e-05, 'epoch': 0.29}
{'loss': 136773120819.2, 'grad_norm': 1284298244096.0, 'learning_rate': 9.997834584671719e-05, 'epoch': 0.29}
{'loss': 461937993318.4, 'grad_norm': 952578867200.0, 'learning_rate': 9.997320682740107e-05, 'epoch': 0.29}
{'loss': 56129178828.8, 'grad_norm': 2017124286464.0, 'learning_rate': 9.996752130910149e-05, 'epoch': 0.3}
{'loss': 75449460326.4, 'grad_norm': 1759805964288.0, 'learning_rate': 9.99612893539944e-05, 'epoch': 0.3}
{'loss': 52576639385.6, 'grad_norm': 351843024896.0, 'learning_rate': 9.995451103023144e-05, 'epoch': 0.31}
{'loss': 308753019699.2, 'grad_norm': 2261698478080.0, 'learning_rate': 9.994718641193928e-05, 'epoch': 0.31}
{'loss': 225998274560.0, 'grad_norm': 936061173760.0, 'learning_rate': 9.993931557921874e-05, 'epoch': 0.32}
{'loss': 50916956569.6, 'grad_norm': 1906886836224.0, 'learning_rate': 9.993089861814402e-05, 'epoch': 0.32}
{'loss': 43636336230.4, 'grad_norm': 953781977088.0, 'learning_rate': 9.992193562076166e-05, 'epoch': 0.33}
{'loss': 422956027084.8, 'grad_norm': 713481191424.0, 'learning_rate': 9.991242668508954e-05, 'epoch': 0.33}
{'loss': 43090427904.0, 'grad_norm': 3425671577600.0, 'learning_rate': 9.990237191511587e-05, 'epoch': 0.34}
{'loss': 41597412966.4, 'grad_norm': 751940927488.0, 'learning_rate': 9.989177142079802e-05, 'epoch': 0.34}
{'loss': 312150720512.0, 'grad_norm': 1181797449728.0, 'learning_rate': 9.988062531806126e-05, 'epoch': 0.35}
{'loss': 39264963788.8, 'grad_norm': 1544626765824.0, 'learning_rate': 9.986893372879762e-05, 'epoch': 0.35}
{'loss': 37394205900.8, 'grad_norm': 2126590115840.0, 'learning_rate': 9.985669678086443e-05, 'epoch': 0.36}
{'loss': 303811815014.4, 'grad_norm': 909495042048.0, 'learning_rate': 9.984391460808298e-05, 'epoch': 0.36}
{'loss': 42422642278.4, 'grad_norm': 5862694846464.0, 'learning_rate': 9.983058735023709e-05, 'epoch': 0.37}
{'loss': 307480913510.4, 'grad_norm': 2364205170688.0, 'learning_rate': 9.98167151530715e-05, 'epoch': 0.37}
{'loss': 307421170892.8, 'grad_norm': 1764551688192.0, 'learning_rate': 9.980229816829034e-05, 'epoch': 0.38}
{'loss': 38615757619.2, 'grad_norm': 13267267223552.0, 'learning_rate': 9.978733655355544e-05, 'epoch': 0.38}
{'loss': 36691594444.8, 'grad_norm': 2242087485440.0, 'learning_rate': 9.977183047248464e-05, 'epoch': 0.39}
{'loss': 38783542886.4, 'grad_norm': 26489628131328.0, 'learning_rate': 9.975578009464992e-05, 'epoch': 0.39}
{'loss': 38981369856.0, 'grad_norm': 287877699207168.0, 'learning_rate': 9.97391855955757e-05, 'epoch': 0.4}
{'loss': 35917565132.8, 'grad_norm': 17154949775360.0, 'learning_rate': 9.972204715673669e-05, 'epoch': 0.4}
{'loss': 50664672460.8, 'grad_norm': 4965902843904.0, 'learning_rate': 9.970436496555617e-05, 'epoch': 0.41}
{'loss': 34535636992.0, 'grad_norm': 638613979136.0, 'learning_rate': 9.968613921540373e-05, 'epoch': 0.41}
{'loss': 306836432486.4, 'grad_norm': 1014797238272.0, 'learning_rate': 9.966737010559326e-05, 'epoch': 0.42}
{'loss': 33032375500.8, 'grad_norm': 337425006592.0, 'learning_rate': 9.964805784138072e-05, 'epoch': 0.42}
{'loss': 308219058585.6, 'grad_norm': 1387664900096.0, 'learning_rate': 9.962820263396195e-05, 'epoch': 0.43}
{'loss': 43192451072.0, 'grad_norm': 4745275113472.0, 'learning_rate': 9.960780470047033e-05, 'epoch': 0.43}
{'loss': 308675477504.0, 'grad_norm': 35049235808256.0, 'learning_rate': 9.958686426397437e-05, 'epoch': 0.44}
{'loss': 300755163545.6, 'grad_norm': 2907867185152.0, 'learning_rate': 9.956538155347534e-05, 'epoch': 0.44}
{'loss': 278828521881.6, 'grad_norm': 109090843918336.0, 'learning_rate': 9.95433568039047e-05, 'epoch': 0.45}
{'loss': 539591390003.2, 'grad_norm': 1692781903872.0, 'learning_rate': 9.952079025612162e-05, 'epoch': 0.45}
{'loss': 500157382656.0, 'grad_norm': 1932140216320.0, 'learning_rate': 9.949768215691022e-05, 'epoch': 0.46}
{'loss': 292574435737.6, 'grad_norm': 1494726737920.0, 'learning_rate': 9.9474032758977e-05, 'epoch': 0.46}
{'loss': 285544441446.4, 'grad_norm': 800353091584.0, 'learning_rate': 9.944984232094794e-05, 'epoch': 0.47}
{'loss': 533442645196.8, 'grad_norm': 4142065654956032.0, 'learning_rate': 9.942511110736584e-05, 'epoch': 0.47}
{'loss': 71507135692.8, 'grad_norm': 1064068120576.0, 'learning_rate': 9.939983938868726e-05, 'epoch': 0.48}
{'loss': 46396289843.2, 'grad_norm': 3026863259648.0, 'learning_rate': 9.93740274412797e-05, 'epoch': 0.48}
{'loss': 41253201510.4, 'grad_norm': 705712881664.0, 'learning_rate': 9.934767554741846e-05, 'epoch': 0.49}
{'loss': 47155252428.8, 'grad_norm': 1937137205248.0, 'learning_rate': 9.932078399528361e-05, 'epoch': 0.49}
  if idx % 2 == 1 and self.interleave_self_attention:
                                                       
{'loss': 46466328166.4, 'grad_norm': 556878987264.0, 'learning_rate': 9.929335307895689e-05, 'epoch': 0.5}
{'loss': 316094257561.6, 'grad_norm': 1109377024000.0, 'learning_rate': 9.926538309841839e-05, 'epoch': 0.5}
{'loss': 47326268620.8, 'grad_norm': 4939976802304.0, 'learning_rate': 9.923687435954334e-05, 'epoch': 0.51}
{'loss': 40087991091.2, 'grad_norm': 2684260188160.0, 'learning_rate': 9.920782717409873e-05, 'epoch': 0.51}
{'loss': 37497831424.0, 'grad_norm': 959163334656.0, 'learning_rate': 9.917824185973994e-05, 'epoch': 0.52}
{'loss': 49336257740.8, 'grad_norm': 8754201362432.0, 'learning_rate': 9.914811874000723e-05, 'epoch': 0.52}
{'loss': 157222200934.4, 'grad_norm': 2692584833024.0, 'learning_rate': 9.911745814432218e-05, 'epoch': 0.53}
{'loss': 37348540416.0, 'grad_norm': 3633106649088.0, 'learning_rate': 9.90862604079842e-05, 'epoch': 0.53}
{'loss': 44322108211.2, 'grad_norm': 282938867712.0, 'learning_rate': 9.90545258721667e-05, 'epoch': 0.54}
{'loss': 43608863539.2, 'grad_norm': 11133253582848.0, 'learning_rate': 9.90222548839135e-05, 'epoch': 0.54}
{'loss': 34911102566.4, 'grad_norm': 1288448376832.0, 'learning_rate': 9.898944779613495e-05, 'epoch': 0.55}
{'loss': 305848018534.4, 'grad_norm': 21241108889600.0, 'learning_rate': 9.89561049676041e-05, 'epoch': 0.55}
{'loss': 47111998668.8, 'grad_norm': 8715568152576.0, 'learning_rate': 9.89222267629528e-05, 'epoch': 0.56}
{'loss': 44350940774.4, 'grad_norm': 2265067290624.0, 'learning_rate': 9.888781355266763e-05, 'epoch': 0.56}
{'loss': 45992489779.2, 'grad_norm': 2845346627584.0, 'learning_rate': 9.885286571308598e-05, 'epoch': 0.57}
{'loss': 45250864742.4, 'grad_norm': 1165577945088.0, 'learning_rate': 9.881738362639182e-05, 'epoch': 0.57}
{'loss': 49976383897.6, 'grad_norm': 1258580213760.0, 'learning_rate': 9.878136768061154e-05, 'epoch': 0.58}
{'loss': 44201115648.0, 'grad_norm': 569731842048.0, 'learning_rate': 9.874481826960979e-05, 'epoch': 0.58}
{'loss': 74659620454.4, 'grad_norm': 438686547968.0, 'learning_rate': 9.870773579308503e-05, 'epoch': 0.59}
{'loss': 44885029683.2, 'grad_norm': 805189648384.0, 'learning_rate': 9.867012065656533e-05, 'epoch': 0.59}
{'loss': 38385935974.4, 'grad_norm': 3926800203776.0, 'learning_rate': 9.863197327140376e-05, 'epoch': 0.59}
{'loss': 324867876454.4, 'grad_norm': 787202506752.0, 'learning_rate': 9.859329405477403e-05, 'epoch': 0.6}
{'loss': 35666070732.8, 'grad_norm': 840254029824.0, 'learning_rate': 9.855408342966585e-05, 'epoch': 0.6}
{'loss': 37929186099.2, 'grad_norm': 1742584152064.0, 'learning_rate': 9.851434182488033e-05, 'epoch': 0.61}
{'loss': 36716868403.2, 'grad_norm': 92971932319744.0, 'learning_rate': 9.84740696750253e-05, 'epoch': 0.61}
{'loss': 570493973299.2, 'grad_norm': 1593500762112.0, 'learning_rate': 9.843326742051055e-05, 'epoch': 0.62}
{'loss': 40656119398.4, 'grad_norm': 1202850234368.0, 'learning_rate': 9.839193550754297e-05, 'epoch': 0.62}
{'loss': 40490021683.2, 'grad_norm': 1208380948480.0, 'learning_rate': 9.835007438812177e-05, 'epoch': 0.63}
{'loss': 41052628582.4, 'grad_norm': 1561731661824.0, 'learning_rate': 9.830768452003341e-05, 'epoch': 0.63}
{'loss': 28880807526.4, 'grad_norm': 523956584448.0, 'learning_rate': 9.826476636684671e-05, 'epoch': 0.64}
{'loss': 32772571136.0, 'grad_norm': 1283277586432.0, 'learning_rate': 9.822132039790773e-05, 'epoch': 0.64}
{'loss': 572253483827.2, 'grad_norm': 2824401059840.0, 'learning_rate': 9.817734708833461e-05, 'epoch': 0.65}
{'loss': 31843319808.0, 'grad_norm': 26912697090048.0, 'learning_rate': 9.813284691901243e-05, 'epoch': 0.65}
{'loss': 570768752640.0, 'grad_norm': 656378712555520.0, 'learning_rate': 9.808782037658792e-05, 'epoch': 0.66}
{'loss': 305295917056.0, 'grad_norm': 50047131582464.0, 'learning_rate': 9.804226795346411e-05, 'epoch': 0.66}
{'loss': 42015801344.0, 'grad_norm': 1680794058752.0, 'learning_rate': 9.799619014779503e-05, 'epoch': 0.67}
{'loss': 40217775308.8, 'grad_norm': 4.0121797772836864e+17, 'learning_rate': 9.794958746348013e-05, 'epoch': 0.67}
{'loss': 50245133926.4, 'grad_norm': 2416623747072.0, 'learning_rate': 9.790246041015896e-05, 'epoch': 0.68}
{'loss': 37410160640.0, 'grad_norm': 1106756501504.0, 'learning_rate': 9.785480950320538e-05, 'epoch': 0.68}
{'loss': 56116851507.2, 'grad_norm': 14038549397504.0, 'learning_rate': 9.78066352637221e-05, 'epoch': 0.69}
{'loss': 320712160051.2, 'grad_norm': 8118538338304.0, 'learning_rate': 9.775793821853488e-05, 'epoch': 0.69}
{'loss': 43650662400.0, 'grad_norm': 1066943119360.0, 'learning_rate': 9.77087189001868e-05, 'epoch': 0.7}
{'loss': 39954156748.8, 'grad_norm': 39720386035712.0, 'learning_rate': 9.765897784693243e-05, 'epoch': 0.7}
{'loss': 47835968307.2, 'grad_norm': 2143629606912.0, 'learning_rate': 9.760871560273197e-05, 'epoch': 0.71}
{'loss': 36723854540.8, 'grad_norm': 604652437504.0, 'learning_rate': 9.755793271724526e-05, 'epoch': 0.71}
{'loss': 42260971520.0, 'grad_norm': 1026760376320.0, 'learning_rate': 9.750662974582584e-05, 'epoch': 0.72}
{'loss': 37393239244.8, 'grad_norm': 1095697104896.0, 'learning_rate': 9.745480724951473e-05, 'epoch': 0.72}
{'loss': 310841049088.0, 'grad_norm': 398457962496.0, 'learning_rate': 9.740246579503447e-05, 'epoch': 0.73}
{'loss': 36377808076.8, 'grad_norm': 670794252288.0, 'learning_rate': 9.734960595478284e-05, 'epoch': 0.73}
{'loss': 42398557798.4, 'grad_norm': 934306775040.0, 'learning_rate': 9.729622830682657e-05, 'epoch': 0.74}
{'loss': 39520550912.0, 'grad_norm': 813947879424.0, 'learning_rate': 9.724233343489504e-05, 'epoch': 0.74}
{'loss': 31775070617.6, 'grad_norm': 9447358240653312.0, 'learning_rate': 9.718792192837396e-05, 'epoch': 0.75}
{'loss': 35388017868.8, 'grad_norm': 1439453282304.0, 'learning_rate': 9.713299438229886e-05, 'epoch': 0.75}
{'loss': 31048895692.8, 'grad_norm': 1128045740032.0, 'learning_rate': 9.707755139734855e-05, 'epoch': 0.76}
{'loss': 37629719347.2, 'grad_norm': 3287453007872.0, 'learning_rate': 9.702159357983866e-05, 'epoch': 0.76}
{'loss': 36038393856.0, 'grad_norm': 400685268992.0, 'learning_rate': 9.696512154171492e-05, 'epoch': 0.77}
{'loss': 311353514393.6, 'grad_norm': 1430541041664.0, 'learning_rate': 9.690813590054645e-05, 'epoch': 0.77}
{'loss': 31702768025.6, 'grad_norm': 1345697611776.0, 'learning_rate': 9.685063727951914e-05, 'epoch': 0.78}
{'loss': 37918910054.4, 'grad_norm': 558267957248.0, 'learning_rate': 9.679262630742865e-05, 'epoch': 0.78}
{'loss': 37145775308.8, 'grad_norm': 1438186209280.0, 'learning_rate': 9.673410361867373e-05, 'epoch': 0.79}
{'loss': 35329340211.2, 'grad_norm': 556250890240.0, 'learning_rate': 9.667506985324909e-05, 'epoch': 0.79}
{'loss': 35916254412.8, 'grad_norm': 1096566046720.0, 'learning_rate': 9.661552565673855e-05, 'epoch': 0.8}
{'loss': 39223977574.4, 'grad_norm': 373696036864.0, 'learning_rate': 9.655547168030789e-05, 'epoch': 0.8}
{'loss': 34003805798.4, 'grad_norm': 186242884960256.0, 'learning_rate': 9.649490858069777e-05, 'epoch': 0.81}
{'loss': 42982644121.6, 'grad_norm': 216667258880000.0, 'learning_rate': 9.643383702021658e-05, 'epoch': 0.81}
{'loss': 40826925875.2, 'grad_norm': 559367782400.0, 'learning_rate': 9.637225766673307e-05, 'epoch': 0.82}
{'loss': 35779883827.2, 'grad_norm': 2.5247121288462336e+16, 'learning_rate': 9.631017119366922e-05, 'epoch': 0.82}
{'loss': 45912254054.4, 'grad_norm': inf, 'learning_rate': 9.624757827999273e-05, 'epoch': 0.83}
{'loss': 42251983257.6, 'grad_norm': 2.9223177384309555e+18, 'learning_rate': 9.618447961020971e-05, 'epoch': 0.83}
{'loss': 42848541081.6, 'grad_norm': 106387984089088.0, 'learning_rate': 9.612087587435707e-05, 'epoch': 0.84}
{'loss': 56222855987.2, 'grad_norm': 1.4816629468793143e+19, 'learning_rate': 9.605676776799508e-05, 'epoch': 0.84}
{'loss': 68321987788.8, 'grad_norm': 7.194065066839245e+16, 'learning_rate': 9.599215599219973e-05, 'epoch': 0.85}
{'loss': 73413885952.0, 'grad_norm': inf, 'learning_rate': 9.592704125355505e-05, 'epoch': 0.85}
{'loss': 103866721894.4, 'grad_norm': inf, 'learning_rate': 9.586142426414538e-05, 'epoch': 0.86}
{'loss': 91143772569.6, 'grad_norm': inf, 'learning_rate': 9.57953057415476e-05, 'epoch': 0.86}
{'loss': 98719150899.2, 'grad_norm': inf, 'learning_rate': 9.572868640882328e-05, 'epoch': 0.87}
{'loss': 378298564608.0, 'grad_norm': inf, 'learning_rate': 9.56615669945108e-05, 'epoch': 0.87}
{'loss': 82388254720.0, 'grad_norm': inf, 'learning_rate': 9.55939482326173e-05, 'epoch': 0.88}
{'loss': 71546424524.8, 'grad_norm': inf, 'learning_rate': 9.552583086261069e-05, 'epoch': 0.88}
{'loss': 93209781862.4, 'grad_norm': inf, 'learning_rate': 9.545721562941168e-05, 'epoch': 0.88}
{'loss': 330661127782.4, 'grad_norm': inf, 'learning_rate': 9.538810328338543e-05, 'epoch': 0.89}
{'loss': 88070796083.2, 'grad_norm': inf, 'learning_rate': 9.531849458033349e-05, 'epoch': 0.89}
{'loss': 378217352396.8, 'grad_norm': inf, 'learning_rate': 9.524839028148547e-05, 'epoch': 0.9}
{'loss': 94187467571.2, 'grad_norm': inf, 'learning_rate': 9.517779115349077e-05, 'epoch': 0.9}
{'loss': 95795635814.4, 'grad_norm': inf, 'learning_rate': 9.510669796841014e-05, 'epoch': 0.91}
{'loss': 389327251046.4, 'grad_norm': inf, 'learning_rate': 9.503511150370727e-05, 'epoch': 0.91}
{'loss': 94848280166.4, 'grad_norm': inf, 'learning_rate': 9.496303254224024e-05, 'epoch': 0.92}
{'loss': 79747298099.2, 'grad_norm': inf, 'learning_rate': 9.489046187225306e-05, 'epoch': 0.92}
{'loss': 382796614860.8, 'grad_norm': inf, 'learning_rate': 9.481740028736692e-05, 'epoch': 0.93}
{'loss': 89793855488.0, 'grad_norm': inf, 'learning_rate': 9.474384858657164e-05, 'epoch': 0.93}
{'loss': 94585566003.2, 'grad_norm': inf, 'learning_rate': 9.466980757421679e-05, 'epoch': 0.94}
{'loss': 95567983411.2, 'grad_norm': inf, 'learning_rate': 9.459527806000305e-05, 'epoch': 0.94}
{'loss': 110478780006.4, 'grad_norm': inf, 'learning_rate': 9.452026085897325e-05, 'epoch': 0.95}
{'loss': 112628649164.8, 'grad_norm': inf, 'learning_rate': 9.444475679150348e-05, 'epoch': 0.95}
{'loss': 115254991257.6, 'grad_norm': inf, 'learning_rate': 9.436876668329411e-05, 'epoch': 0.96}
