  0%|          | 0/30000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                     
{'loss': 7.2935, 'grad_norm': 2.9523277282714844, 'learning_rate': 6.000000000000001e-07, 'epoch': 0.0}
{'loss': 11.7535, 'grad_norm': 4.946784019470215, 'learning_rate': 1.2666666666666667e-06, 'epoch': 0.01}
{'loss': 11.3866, 'grad_norm': 3.6609103679656982, 'learning_rate': 1.9333333333333336e-06, 'epoch': 0.01}
{'loss': 11.0535, 'grad_norm': 3.9959137439727783, 'learning_rate': 2.6e-06, 'epoch': 0.02}
{'loss': 9.7623, 'grad_norm': 4.838532447814941, 'learning_rate': 3.2666666666666666e-06, 'epoch': 0.02}
{'loss': 12.4003, 'grad_norm': 4.676620960235596, 'learning_rate': 3.9333333333333335e-06, 'epoch': 0.03}
{'loss': 9.2156, 'grad_norm': 5.87558126449585, 'learning_rate': 4.6e-06, 'epoch': 0.03}
{'loss': 8.7691, 'grad_norm': 12.169516563415527, 'learning_rate': 5.266666666666667e-06, 'epoch': 0.04}
{'loss': 9.7582, 'grad_norm': 8.333818435668945, 'learning_rate': 5.933333333333334e-06, 'epoch': 0.04}
{'loss': 9.7038, 'grad_norm': 20.415773391723633, 'learning_rate': 6.6e-06, 'epoch': 0.05}
{'loss': 7.2421, 'grad_norm': 8.636021614074707, 'learning_rate': 7.266666666666668e-06, 'epoch': 0.05}
{'loss': 7.5662, 'grad_norm': 7.718306541442871, 'learning_rate': 7.933333333333334e-06, 'epoch': 0.06}
{'loss': 8.0141, 'grad_norm': 13.974989891052246, 'learning_rate': 8.599999999999999e-06, 'epoch': 0.06}
{'loss': 6.6459, 'grad_norm': 13.910307884216309, 'learning_rate': 9.266666666666667e-06, 'epoch': 0.07}
{'loss': 5.7669, 'grad_norm': 9.861882209777832, 'learning_rate': 9.933333333333334e-06, 'epoch': 0.07}
{'loss': 5.8162, 'grad_norm': 6.958561897277832, 'learning_rate': 1.06e-05, 'epoch': 0.08}
{'loss': 5.1624, 'grad_norm': 31.039058685302734, 'learning_rate': 1.1266666666666667e-05, 'epoch': 0.08}
{'loss': 5.1849, 'grad_norm': 9.446036338806152, 'learning_rate': 1.1933333333333333e-05, 'epoch': 0.09}
{'loss': 3.6675, 'grad_norm': 11.517524719238281, 'learning_rate': 1.2600000000000001e-05, 'epoch': 0.09}
{'loss': 3.653, 'grad_norm': 13.191673278808594, 'learning_rate': 1.3266666666666666e-05, 'epoch': 0.1}
{'loss': 3.7381, 'grad_norm': 18.733850479125977, 'learning_rate': 1.3933333333333334e-05, 'epoch': 0.1}
{'loss': 3.3746, 'grad_norm': 22.610088348388672, 'learning_rate': 1.4599999999999999e-05, 'epoch': 0.11}
{'loss': 3.2686, 'grad_norm': 21.988567352294922, 'learning_rate': 1.5266666666666667e-05, 'epoch': 0.11}
{'loss': 3.6297, 'grad_norm': 23.210296630859375, 'learning_rate': 1.5933333333333332e-05, 'epoch': 0.12}
{'loss': 3.6006, 'grad_norm': 70.85525512695312, 'learning_rate': 1.66e-05, 'epoch': 0.12}
{'loss': 3.396, 'grad_norm': 40.15673065185547, 'learning_rate': 1.726666666666667e-05, 'epoch': 0.13}
{'loss': 2.9865, 'grad_norm': 15.024983406066895, 'learning_rate': 1.7933333333333337e-05, 'epoch': 0.13}
{'loss': 3.0539, 'grad_norm': 49.53240203857422, 'learning_rate': 1.86e-05, 'epoch': 0.14}
{'loss': 3.4133, 'grad_norm': 22.056560516357422, 'learning_rate': 1.926666666666667e-05, 'epoch': 0.14}
