  0%|          | 0/30000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                     
{'loss': 7.3143, 'grad_norm': 3.0492866039276123, 'learning_rate': 6.000000000000001e-07, 'epoch': 0.0}
{'loss': 11.814, 'grad_norm': 5.220269680023193, 'learning_rate': 1.2666666666666667e-06, 'epoch': 0.01}
{'loss': 11.4209, 'grad_norm': 3.7219228744506836, 'learning_rate': 1.9333333333333336e-06, 'epoch': 0.01}
{'loss': 11.0721, 'grad_norm': 3.6437015533447266, 'learning_rate': 2.6e-06, 'epoch': 0.02}
{'loss': 9.8399, 'grad_norm': 4.341006755828857, 'learning_rate': 3.2666666666666666e-06, 'epoch': 0.02}
{'loss': 12.572, 'grad_norm': 3.543736457824707, 'learning_rate': 3.9333333333333335e-06, 'epoch': 0.03}
{'loss': 9.3525, 'grad_norm': 5.312510967254639, 'learning_rate': 4.6e-06, 'epoch': 0.03}
{'loss': 8.9948, 'grad_norm': 9.923705101013184, 'learning_rate': 5.266666666666667e-06, 'epoch': 0.04}
{'loss': 10.0645, 'grad_norm': 8.665189743041992, 'learning_rate': 5.933333333333334e-06, 'epoch': 0.04}
{'loss': 9.9732, 'grad_norm': 22.555458068847656, 'learning_rate': 6.6e-06, 'epoch': 0.05}
{'loss': 7.6079, 'grad_norm': 9.571269035339355, 'learning_rate': 7.266666666666668e-06, 'epoch': 0.05}
{'loss': 7.705, 'grad_norm': 6.677889823913574, 'learning_rate': 7.933333333333334e-06, 'epoch': 0.06}
{'loss': 8.1223, 'grad_norm': 15.45512866973877, 'learning_rate': 8.599999999999999e-06, 'epoch': 0.06}
{'loss': 6.7048, 'grad_norm': 10.235495567321777, 'learning_rate': 9.266666666666667e-06, 'epoch': 0.07}
{'loss': 5.8138, 'grad_norm': 10.4819917678833, 'learning_rate': 9.933333333333334e-06, 'epoch': 0.07}
{'loss': 5.8809, 'grad_norm': 6.67033576965332, 'learning_rate': 1.06e-05, 'epoch': 0.08}
{'loss': 5.2576, 'grad_norm': 31.087984085083008, 'learning_rate': 1.1266666666666667e-05, 'epoch': 0.08}
{'loss': 5.2102, 'grad_norm': 4.54035758972168, 'learning_rate': 1.1933333333333333e-05, 'epoch': 0.09}
{'loss': 3.949, 'grad_norm': 22.540931701660156, 'learning_rate': 1.2600000000000001e-05, 'epoch': 0.09}
{'loss': 3.7887, 'grad_norm': 14.918123245239258, 'learning_rate': 1.3266666666666666e-05, 'epoch': 0.1}
