  0%|          | 0/30000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                     
{'loss': 7.2847, 'grad_norm': 2.9074840545654297, 'learning_rate': 6.000000000000001e-07, 'epoch': 0.0}
{'loss': 11.7217, 'grad_norm': 5.2853169441223145, 'learning_rate': 1.2666666666666667e-06, 'epoch': 0.01}
{'loss': 11.3474, 'grad_norm': 3.8755176067352295, 'learning_rate': 1.9333333333333336e-06, 'epoch': 0.01}
{'loss': 11.008, 'grad_norm': 4.443173408508301, 'learning_rate': 2.6e-06, 'epoch': 0.02}
{'loss': 9.7441, 'grad_norm': 5.786448001861572, 'learning_rate': 3.2666666666666666e-06, 'epoch': 0.02}
{'loss': 12.3505, 'grad_norm': 4.9650702476501465, 'learning_rate': 3.9333333333333335e-06, 'epoch': 0.03}
{'loss': 9.1773, 'grad_norm': 7.285671710968018, 'learning_rate': 4.6e-06, 'epoch': 0.03}
{'loss': 8.7053, 'grad_norm': 13.606627464294434, 'learning_rate': 5.266666666666667e-06, 'epoch': 0.04}
{'loss': 9.6246, 'grad_norm': 11.447505950927734, 'learning_rate': 5.933333333333334e-06, 'epoch': 0.04}
{'loss': 9.3511, 'grad_norm': 25.808029174804688, 'learning_rate': 6.6e-06, 'epoch': 0.05}
{'loss': 6.873, 'grad_norm': 12.346717834472656, 'learning_rate': 7.266666666666668e-06, 'epoch': 0.05}
{'loss': 7.0539, 'grad_norm': 7.996549606323242, 'learning_rate': 7.933333333333334e-06, 'epoch': 0.06}
{'loss': 7.2986, 'grad_norm': 15.177756309509277, 'learning_rate': 8.599999999999999e-06, 'epoch': 0.06}
{'loss': 5.9853, 'grad_norm': 11.101568222045898, 'learning_rate': 9.266666666666667e-06, 'epoch': 0.07}
{'loss': 5.1421, 'grad_norm': 9.613407135009766, 'learning_rate': 9.933333333333334e-06, 'epoch': 0.07}
{'loss': 5.0537, 'grad_norm': 14.45931625366211, 'learning_rate': 1.06e-05, 'epoch': 0.08}
{'loss': 4.5234, 'grad_norm': 31.691268920898438, 'learning_rate': 1.1266666666666667e-05, 'epoch': 0.08}
{'loss': 4.4642, 'grad_norm': 4.687128067016602, 'learning_rate': 1.1933333333333333e-05, 'epoch': 0.09}
{'loss': 3.6275, 'grad_norm': 53.65549087524414, 'learning_rate': 1.2600000000000001e-05, 'epoch': 0.09}
{'loss': 3.6005, 'grad_norm': 24.889362335205078, 'learning_rate': 1.3266666666666666e-05, 'epoch': 0.1}
{'loss': 3.3752, 'grad_norm': 186.75344848632812, 'learning_rate': 1.3933333333333334e-05, 'epoch': 0.1}
{'loss': 3.5868, 'grad_norm': 58.527305603027344, 'learning_rate': 1.4599999999999999e-05, 'epoch': 0.11}
{'loss': 3.2698, 'grad_norm': 15.084920883178711, 'learning_rate': 1.5266666666666667e-05, 'epoch': 0.11}
{'loss': 3.4925, 'grad_norm': 20.063732147216797, 'learning_rate': 1.5933333333333332e-05, 'epoch': 0.12}
{'loss': 3.5248, 'grad_norm': 19.828929901123047, 'learning_rate': 1.66e-05, 'epoch': 0.12}
{'loss': 3.4927, 'grad_norm': 29.58135223388672, 'learning_rate': 1.726666666666667e-05, 'epoch': 0.13}
{'loss': 3.0554, 'grad_norm': 16.482860565185547, 'learning_rate': 1.7933333333333337e-05, 'epoch': 0.13}
{'loss': 3.0569, 'grad_norm': 35.925785064697266, 'learning_rate': 1.86e-05, 'epoch': 0.14}
{'loss': 3.3025, 'grad_norm': 31.886457443237305, 'learning_rate': 1.926666666666667e-05, 'epoch': 0.14}
{'loss': 2.961, 'grad_norm': 119.10759735107422, 'learning_rate': 1.9933333333333334e-05, 'epoch': 0.15}
{'loss': 2.8517, 'grad_norm': 28.36119270324707, 'learning_rate': 2.06e-05, 'epoch': 0.15}
{'loss': 2.6596, 'grad_norm': 9.011214256286621, 'learning_rate': 2.1266666666666667e-05, 'epoch': 0.16}
{'loss': 2.706, 'grad_norm': 13.288942337036133, 'learning_rate': 2.1933333333333332e-05, 'epoch': 0.16}
{'loss': 2.7356, 'grad_norm': 80.5687484741211, 'learning_rate': 2.26e-05, 'epoch': 0.17}
{'loss': 2.3989, 'grad_norm': 14.757898330688477, 'learning_rate': 2.326666666666667e-05, 'epoch': 0.17}
{'loss': 2.2882, 'grad_norm': 39.45848846435547, 'learning_rate': 2.3933333333333337e-05, 'epoch': 0.18}
