  0%|          | 0/30000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                     
{'loss': 31202279738572.8, 'grad_norm': 79054920.0, 'learning_rate': 6.000000000000001e-07, 'epoch': 0.0}
{'loss': 35039101530931.2, 'grad_norm': 79900744.0, 'learning_rate': 1.2666666666666667e-06, 'epoch': 0.01}
{'loss': 31704760713216.0, 'grad_norm': 56631792.0, 'learning_rate': 1.9333333333333336e-06, 'epoch': 0.01}
{'loss': 28444481237811.2, 'grad_norm': 56659756.0, 'learning_rate': 2.6e-06, 'epoch': 0.02}
{'loss': 29177544913715.2, 'grad_norm': 79229424.0, 'learning_rate': 3.2666666666666666e-06, 'epoch': 0.02}
{'loss': 32321796518707.2, 'grad_norm': 69339608.0, 'learning_rate': 3.9333333333333335e-06, 'epoch': 0.03}
{'loss': 32690955668684.8, 'grad_norm': 76547744.0, 'learning_rate': 4.6e-06, 'epoch': 0.03}
{'loss': 32074835899187.2, 'grad_norm': 70355328.0, 'learning_rate': 5.266666666666667e-06, 'epoch': 0.04}
{'loss': 29406667997184.0, 'grad_norm': 56475940.0, 'learning_rate': 5.933333333333334e-06, 'epoch': 0.04}
{'loss': 32910790885376.0, 'grad_norm': 76632552.0, 'learning_rate': 6.6e-06, 'epoch': 0.05}
{'loss': 35129638099353.6, 'grad_norm': 83903528.0, 'learning_rate': 7.266666666666668e-06, 'epoch': 0.05}
{'loss': 33534540932710.4, 'grad_norm': 115538904.0, 'learning_rate': 7.933333333333334e-06, 'epoch': 0.06}
{'loss': 32130633564160.0, 'grad_norm': 81431608.0, 'learning_rate': 8.599999999999999e-06, 'epoch': 0.06}
{'loss': 28657249891123.2, 'grad_norm': 138641184.0, 'learning_rate': 9.266666666666667e-06, 'epoch': 0.07}
{'loss': 30376948085555.2, 'grad_norm': 86957824.0, 'learning_rate': 9.933333333333334e-06, 'epoch': 0.07}
{'loss': 31587454418944.0, 'grad_norm': 179195248.0, 'learning_rate': 1.06e-05, 'epoch': 0.08}
{'loss': 31501669158092.8, 'grad_norm': 203671456.0, 'learning_rate': 1.1266666666666667e-05, 'epoch': 0.08}
{'loss': 32916307233996.8, 'grad_norm': 208693024.0, 'learning_rate': 1.1933333333333333e-05, 'epoch': 0.09}
{'loss': 36104585609216.0, 'grad_norm': 503818112.0, 'learning_rate': 1.2600000000000001e-05, 'epoch': 0.09}
{'loss': 34199438780006.4, 'grad_norm': 611614464.0, 'learning_rate': 1.3266666666666666e-05, 'epoch': 0.1}
{'loss': 33284298689740.8, 'grad_norm': 615356416.0, 'learning_rate': 1.3933333333333334e-05, 'epoch': 0.1}
{'loss': 29638247265075.2, 'grad_norm': 774372480.0, 'learning_rate': 1.4599999999999999e-05, 'epoch': 0.11}
{'loss': 33420345134284.8, 'grad_norm': 1332180096.0, 'learning_rate': 1.5266666666666667e-05, 'epoch': 0.11}
{'loss': 30386933884518.4, 'grad_norm': 1953582592.0, 'learning_rate': 1.5933333333333332e-05, 'epoch': 0.12}
{'loss': 28800812528435.2, 'grad_norm': 1885367040.0, 'learning_rate': 1.66e-05, 'epoch': 0.12}
{'loss': 31867194363084.8, 'grad_norm': 4177640192.0, 'learning_rate': 1.726666666666667e-05, 'epoch': 0.13}
{'loss': 34417082892288.0, 'grad_norm': 5647240704.0, 'learning_rate': 1.7933333333333337e-05, 'epoch': 0.13}
{'loss': 34772420971724.8, 'grad_norm': 5750495232.0, 'learning_rate': 1.86e-05, 'epoch': 0.14}
{'loss': 30807944698265.6, 'grad_norm': 4990244352.0, 'learning_rate': 1.926666666666667e-05, 'epoch': 0.14}
{'loss': 32690190627635.2, 'grad_norm': 7555559424.0, 'learning_rate': 1.9933333333333334e-05, 'epoch': 0.15}
{'loss': 34039655930265.6, 'grad_norm': 14862303232.0, 'learning_rate': 2.06e-05, 'epoch': 0.15}
{'loss': 33293083240038.4, 'grad_norm': 27565246464.0, 'learning_rate': 2.1266666666666667e-05, 'epoch': 0.16}
{'loss': 30676673049395.2, 'grad_norm': 30681374720.0, 'learning_rate': 2.1933333333333332e-05, 'epoch': 0.16}
{'loss': 31049308438528.0, 'grad_norm': 27352621056.0, 'learning_rate': 2.26e-05, 'epoch': 0.17}
{'loss': 31880045710540.8, 'grad_norm': 59726479360.0, 'learning_rate': 2.326666666666667e-05, 'epoch': 0.17}
{'loss': 36345724534784.0, 'grad_norm': 70744580096.0, 'learning_rate': 2.3933333333333337e-05, 'epoch': 0.18}
{'loss': 31627723092787.2, 'grad_norm': 64225697792.0, 'learning_rate': 2.46e-05, 'epoch': 0.18}
{'loss': 34309148350873.6, 'grad_norm': 73295962112.0, 'learning_rate': 2.5266666666666666e-05, 'epoch': 0.19}
{'loss': 30570040419942.4, 'grad_norm': 55521837056.0, 'learning_rate': 2.5933333333333338e-05, 'epoch': 0.19}
{'loss': 33880584434483.2, 'grad_norm': 165633736704.0, 'learning_rate': 2.6600000000000003e-05, 'epoch': 0.2}
{'loss': 28430264224972.8, 'grad_norm': 146893438976.0, 'learning_rate': 2.7266666666666668e-05, 'epoch': 0.2}
{'loss': 30865819382579.2, 'grad_norm': 98805678080.0, 'learning_rate': 2.7933333333333332e-05, 'epoch': 0.21}
{'loss': 35896283050803.2, 'grad_norm': 234011623424.0, 'learning_rate': 2.86e-05, 'epoch': 0.21}
{'loss': 30854149151129.6, 'grad_norm': 210357436416.0, 'learning_rate': 2.926666666666667e-05, 'epoch': 0.22}
{'loss': 31177375639142.4, 'grad_norm': 294357762048.0, 'learning_rate': 2.9933333333333337e-05, 'epoch': 0.22}
{'loss': 32405645688832.0, 'grad_norm': 243908952064.0, 'learning_rate': 3.06e-05, 'epoch': 0.23}
{'loss': 32996727141171.2, 'grad_norm': 459668750336.0, 'learning_rate': 3.126666666666666e-05, 'epoch': 0.23}
{'loss': 33712100920524.8, 'grad_norm': 607854067712.0, 'learning_rate': 3.1933333333333335e-05, 'epoch': 0.24}
{'loss': 32023443931136.0, 'grad_norm': 438390784000.0, 'learning_rate': 3.26e-05, 'epoch': 0.24}
{'loss': 35112303879782.4, 'grad_norm': 738188197888.0, 'learning_rate': 3.326666666666667e-05, 'epoch': 0.25}
{'loss': 31118782889984.0, 'grad_norm': 684138037248.0, 'learning_rate': 3.3933333333333336e-05, 'epoch': 0.25}
{'loss': 30148606820352.0, 'grad_norm': 640237109248.0, 'learning_rate': 3.46e-05, 'epoch': 0.26}
{'loss': 31403737192857.6, 'grad_norm': 1051447263232.0, 'learning_rate': 3.526666666666667e-05, 'epoch': 0.26}
{'loss': 32183968333824.0, 'grad_norm': 1142580445184.0, 'learning_rate': 3.593333333333334e-05, 'epoch': 0.27}
{'loss': 34210820443340.8, 'grad_norm': 1142948233216.0, 'learning_rate': 3.66e-05, 'epoch': 0.27}
{'loss': 29677552926720.0, 'grad_norm': 729486458880.0, 'learning_rate': 3.726666666666667e-05, 'epoch': 0.28}
{'loss': 31772054126592.0, 'grad_norm': 2217464561664.0, 'learning_rate': 3.793333333333334e-05, 'epoch': 0.28}
{'loss': 30139969909555.2, 'grad_norm': 2089657040896.0, 'learning_rate': 3.86e-05, 'epoch': 0.29}
{'loss': 28105734147276.8, 'grad_norm': 1985124499456.0, 'learning_rate': 3.926666666666667e-05, 'epoch': 0.29}
{'loss': 30298675662028.8, 'grad_norm': 2540276023296.0, 'learning_rate': 3.993333333333333e-05, 'epoch': 0.29}
{'loss': 31890608645734.4, 'grad_norm': 2766415069184.0, 'learning_rate': 4.0600000000000004e-05, 'epoch': 0.3}
{'loss': 31647503430451.2, 'grad_norm': 4241595039744.0, 'learning_rate': 4.126666666666667e-05, 'epoch': 0.3}
{'loss': 31081104618291.2, 'grad_norm': 4094892703744.0, 'learning_rate': 4.1933333333333334e-05, 'epoch': 0.31}
{'loss': 31330380493619.2, 'grad_norm': 3050220552192.0, 'learning_rate': 4.26e-05, 'epoch': 0.31}
{'loss': 30774292958412.8, 'grad_norm': 4521716088832.0, 'learning_rate': 4.3266666666666664e-05, 'epoch': 0.32}
{'loss': 29735145753804.8, 'grad_norm': 4174539653120.0, 'learning_rate': 4.3933333333333335e-05, 'epoch': 0.32}
{'loss': 27359052405145.6, 'grad_norm': 5344037175296.0, 'learning_rate': 4.46e-05, 'epoch': 0.33}
{'loss': 28501225137766.4, 'grad_norm': 4557809647616.0, 'learning_rate': 4.526666666666667e-05, 'epoch': 0.33}
{'loss': 30589542255820.8, 'grad_norm': 6907592441856.0, 'learning_rate': 4.5933333333333336e-05, 'epoch': 0.34}
{'loss': 28396035348889.6, 'grad_norm': 8095330205696.0, 'learning_rate': 4.660000000000001e-05, 'epoch': 0.34}
{'loss': 28914582185574.4, 'grad_norm': 8720790061056.0, 'learning_rate': 4.726666666666667e-05, 'epoch': 0.35}
{'loss': 28344237372211.2, 'grad_norm': 9686733553664.0, 'learning_rate': 4.793333333333334e-05, 'epoch': 0.35}
{'loss': 27163418322534.4, 'grad_norm': 10466266972160.0, 'learning_rate': 4.86e-05, 'epoch': 0.36}
{'loss': 26761984842137.6, 'grad_norm': 12056121049088.0, 'learning_rate': 4.926666666666667e-05, 'epoch': 0.36}
{'loss': 28771294694604.8, 'grad_norm': 19440649371648.0, 'learning_rate': 4.993333333333334e-05, 'epoch': 0.37}
{'loss': 23221651688652.8, 'grad_norm': 17279212322816.0, 'learning_rate': 5.0600000000000003e-05, 'epoch': 0.37}
{'loss': 26853299873382.4, 'grad_norm': 17215198855168.0, 'learning_rate': 5.1266666666666675e-05, 'epoch': 0.38}
{'loss': 23735769340313.6, 'grad_norm': 19220247085056.0, 'learning_rate': 5.193333333333333e-05, 'epoch': 0.38}
{'loss': 18652287991808.0, 'grad_norm': 17648498769920.0, 'learning_rate': 5.2600000000000005e-05, 'epoch': 0.39}
{'loss': 15907599207628.8, 'grad_norm': 17667400400896.0, 'learning_rate': 5.326666666666666e-05, 'epoch': 0.39}
{'loss': 16978733852262.4, 'grad_norm': 19456782761984.0, 'learning_rate': 5.3933333333333334e-05, 'epoch': 0.4}
{'loss': 15890634086809.6, 'grad_norm': 22843897151488.0, 'learning_rate': 5.4600000000000006e-05, 'epoch': 0.4}
{'loss': 16178514336153.6, 'grad_norm': 24312962613248.0, 'learning_rate': 5.5266666666666664e-05, 'epoch': 0.41}
{'loss': 13679857552588.8, 'grad_norm': 21261570801664.0, 'learning_rate': 5.5933333333333335e-05, 'epoch': 0.41}
