  0%|          | 0/30000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                     
{'loss': 7.2727, 'grad_norm': 2.9865074157714844, 'learning_rate': 6.000000000000001e-07, 'epoch': 0.0}
{'loss': 11.7466, 'grad_norm': 5.570341110229492, 'learning_rate': 1.2666666666666667e-06, 'epoch': 0.01}
{'loss': 11.3573, 'grad_norm': 3.8731675148010254, 'learning_rate': 1.9333333333333336e-06, 'epoch': 0.01}
{'loss': 10.9906, 'grad_norm': 4.396729946136475, 'learning_rate': 2.6e-06, 'epoch': 0.02}
{'loss': 9.7558, 'grad_norm': 6.080937385559082, 'learning_rate': 3.2666666666666666e-06, 'epoch': 0.02}
{'loss': 12.433, 'grad_norm': 5.15275239944458, 'learning_rate': 3.9333333333333335e-06, 'epoch': 0.03}
{'loss': 9.1981, 'grad_norm': 7.853631019592285, 'learning_rate': 4.6e-06, 'epoch': 0.03}
{'loss': 8.8022, 'grad_norm': 14.335177421569824, 'learning_rate': 5.266666666666667e-06, 'epoch': 0.04}
{'loss': 9.8272, 'grad_norm': 11.975690841674805, 'learning_rate': 5.933333333333334e-06, 'epoch': 0.04}
{'loss': 9.7448, 'grad_norm': 24.883045196533203, 'learning_rate': 6.6e-06, 'epoch': 0.05}
{'loss': 7.3595, 'grad_norm': 12.440200805664062, 'learning_rate': 7.266666666666668e-06, 'epoch': 0.05}
{'loss': 7.4506, 'grad_norm': 8.73530101776123, 'learning_rate': 7.933333333333334e-06, 'epoch': 0.06}
{'loss': 7.8458, 'grad_norm': 17.372455596923828, 'learning_rate': 8.599999999999999e-06, 'epoch': 0.06}
{'loss': 6.4474, 'grad_norm': 10.923745155334473, 'learning_rate': 9.266666666666667e-06, 'epoch': 0.07}
{'loss': 5.4968, 'grad_norm': 10.892444610595703, 'learning_rate': 9.933333333333334e-06, 'epoch': 0.07}
{'loss': 5.5112, 'grad_norm': 6.00445032119751, 'learning_rate': 1.06e-05, 'epoch': 0.08}
{'loss': 4.898, 'grad_norm': 31.638023376464844, 'learning_rate': 1.1266666666666667e-05, 'epoch': 0.08}
{'loss': 4.8065, 'grad_norm': 5.6705708503723145, 'learning_rate': 1.1933333333333333e-05, 'epoch': 0.09}
{'loss': 3.8065, 'grad_norm': 15.11408805847168, 'learning_rate': 1.2600000000000001e-05, 'epoch': 0.09}
{'loss': 3.6528, 'grad_norm': 17.072275161743164, 'learning_rate': 1.3266666666666666e-05, 'epoch': 0.1}
{'loss': 3.3364, 'grad_norm': 88.73966217041016, 'learning_rate': 1.3933333333333334e-05, 'epoch': 0.1}
{'loss': 3.2867, 'grad_norm': 29.467355728149414, 'learning_rate': 1.4599999999999999e-05, 'epoch': 0.11}
{'loss': 3.3844, 'grad_norm': 16.17106819152832, 'learning_rate': 1.5266666666666667e-05, 'epoch': 0.11}
{'loss': 3.5069, 'grad_norm': 20.45421028137207, 'learning_rate': 1.5933333333333332e-05, 'epoch': 0.12}
{'loss': 3.3548, 'grad_norm': 34.32322311401367, 'learning_rate': 1.66e-05, 'epoch': 0.12}
{'loss': 3.3971, 'grad_norm': 51.843841552734375, 'learning_rate': 1.726666666666667e-05, 'epoch': 0.13}
{'loss': 2.9975, 'grad_norm': 10.304880142211914, 'learning_rate': 1.7933333333333337e-05, 'epoch': 0.13}
{'loss': 2.768, 'grad_norm': 39.84174346923828, 'learning_rate': 1.86e-05, 'epoch': 0.14}
{'loss': 3.0416, 'grad_norm': 22.209274291992188, 'learning_rate': 1.926666666666667e-05, 'epoch': 0.14}
{'loss': 2.994, 'grad_norm': 152.58265686035156, 'learning_rate': 1.9933333333333334e-05, 'epoch': 0.15}
{'loss': 2.9273, 'grad_norm': 24.486949920654297, 'learning_rate': 2.06e-05, 'epoch': 0.15}
{'loss': 2.6512, 'grad_norm': 11.0828218460083, 'learning_rate': 2.1266666666666667e-05, 'epoch': 0.16}
{'loss': 2.9902, 'grad_norm': 26.294086456298828, 'learning_rate': 2.1933333333333332e-05, 'epoch': 0.16}
{'loss': 2.9864, 'grad_norm': 18.41826820373535, 'learning_rate': 2.26e-05, 'epoch': 0.17}
{'loss': 2.5207, 'grad_norm': 17.93286895751953, 'learning_rate': 2.326666666666667e-05, 'epoch': 0.17}
{'loss': 2.604, 'grad_norm': 54.22452163696289, 'learning_rate': 2.3933333333333337e-05, 'epoch': 0.18}
{'loss': 2.5796, 'grad_norm': 39.5861930847168, 'learning_rate': 2.46e-05, 'epoch': 0.18}
