  0%|          | 0/5000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                   
{'loss': 37053441192755.2, 'grad_norm': 145838064.0, 'learning_rate': 3.6e-06, 'epoch': 0.0}
{'loss': 25811055594700.8, 'grad_norm': 67622696.0, 'learning_rate': 7.6e-06, 'epoch': 0.0}
{'loss': 24255148326912.0, 'grad_norm': 7729901.5, 'learning_rate': 1.16e-05, 'epoch': 0.0}
{'loss': 30860467450675.2, 'grad_norm': 61963056.0, 'learning_rate': 1.56e-05, 'epoch': 0.0}
{'loss': 32220774190284.8, 'grad_norm': 152528368.0, 'learning_rate': 1.9600000000000002e-05, 'epoch': 0.0}
{'loss': 37012766510284.8, 'grad_norm': 49717232.0, 'learning_rate': 2.36e-05, 'epoch': 0.0}
{'loss': 34662916082892.8, 'grad_norm': 130658280.0, 'learning_rate': 2.7600000000000003e-05, 'epoch': 0.01}
{'loss': 38687548742041.6, 'grad_norm': 179255664.0, 'learning_rate': 3.16e-05, 'epoch': 0.01}
{'loss': 32236786365235.2, 'grad_norm': 486997408.0, 'learning_rate': 3.56e-05, 'epoch': 0.01}
{'loss': 36917401459097.6, 'grad_norm': 948078016.0, 'learning_rate': 3.960000000000001e-05, 'epoch': 0.01}
{'loss': 34890660079206.4, 'grad_norm': 1884259968.0, 'learning_rate': 4.36e-05, 'epoch': 0.01}
{'loss': 32838554904166.4, 'grad_norm': 2619280128.0, 'learning_rate': 4.76e-05, 'epoch': 0.01}
{'loss': 38743859789824.0, 'grad_norm': 4761550336.0, 'learning_rate': 5.16e-05, 'epoch': 0.01}
{'loss': 21012055431577.6, 'grad_norm': 9797331968.0, 'learning_rate': 5.560000000000001e-05, 'epoch': 0.01}
{'loss': 35406901726412.8, 'grad_norm': 18227832832.0, 'learning_rate': 5.96e-05, 'epoch': 0.01}
{'loss': 38652695753523.2, 'grad_norm': 34108938240.0, 'learning_rate': 6.36e-05, 'epoch': 0.01}
{'loss': 27407912691302.4, 'grad_norm': 3004513536.0, 'learning_rate': 6.76e-05, 'epoch': 0.01}
{'loss': 28958555268710.4, 'grad_norm': 52247261184.0, 'learning_rate': 7.16e-05, 'epoch': 0.01}
{'loss': 27375861497856.0, 'grad_norm': 166790201344.0, 'learning_rate': 7.560000000000001e-05, 'epoch': 0.02}
{'loss': 32545242192281.6, 'grad_norm': 161147027456.0, 'learning_rate': 7.960000000000001e-05, 'epoch': 0.02}
{'loss': 32134794313728.0, 'grad_norm': 365464387584.0, 'learning_rate': 8.36e-05, 'epoch': 0.02}
{'loss': 23554023437107.2, 'grad_norm': 585546661888.0, 'learning_rate': 8.76e-05, 'epoch': 0.02}
{'loss': 26997095713996.8, 'grad_norm': 860750938112.0, 'learning_rate': 9.16e-05, 'epoch': 0.02}
{'loss': 27062149369036.8, 'grad_norm': 80808484864.0, 'learning_rate': 9.56e-05, 'epoch': 0.02}
{'loss': 30009131112857.6, 'grad_norm': 1805465944064.0, 'learning_rate': 9.960000000000001e-05, 'epoch': 0.02}
{'loss': 28174482145280.0, 'grad_norm': 1063961034752.0, 'learning_rate': 9.999911419878559e-05, 'epoch': 0.02}
{'loss': 23134240715571.2, 'grad_norm': 4534065692672.0, 'learning_rate': 9.999605221019081e-05, 'epoch': 0.02}
{'loss': 33449607954432.0, 'grad_norm': 4054963191808.0, 'learning_rate': 9.999080323230761e-05, 'epoch': 0.02}
{'loss': 22162177209139.2, 'grad_norm': 2189345423360.0, 'learning_rate': 9.998336749474329e-05, 'epoch': 0.02}
{'loss': 28521354441523.2, 'grad_norm': 9009738285056.0, 'learning_rate': 9.997374532276107e-05, 'epoch': 0.02}
{'loss': 28098013272473.6, 'grad_norm': 4005196726272.0, 'learning_rate': 9.996193713726596e-05, 'epoch': 0.03}
