  0%|          | 0/10000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                    
{'loss': 7.5764, 'grad_norm': 8.226143836975098, 'learning_rate': 1.8e-06, 'epoch': 0.0}
{'loss': 4.5017, 'grad_norm': 3.4087071418762207, 'learning_rate': 3.8e-06, 'epoch': 0.0}
{'loss': 7.0897, 'grad_norm': 2.2378461360931396, 'learning_rate': 5.8e-06, 'epoch': 0.0}
{'loss': 7.1563, 'grad_norm': 4.20162296295166, 'learning_rate': 7.8e-06, 'epoch': 0.0}
{'loss': 9.7328, 'grad_norm': 11.758818626403809, 'learning_rate': 9.800000000000001e-06, 'epoch': 0.0}
{'loss': 7.3312, 'grad_norm': 6.161042213439941, 'learning_rate': 1.18e-05, 'epoch': 0.0}
{'loss': 9.9691, 'grad_norm': 26.5977840423584, 'learning_rate': 1.3800000000000002e-05, 'epoch': 0.01}
{'loss': 10.3108, 'grad_norm': 7.432501316070557, 'learning_rate': 1.58e-05, 'epoch': 0.01}
{'loss': 11.5657, 'grad_norm': 29.88396453857422, 'learning_rate': 1.78e-05, 'epoch': 0.01}
{'loss': 10.1387, 'grad_norm': 33.04569625854492, 'learning_rate': 1.9800000000000004e-05, 'epoch': 0.01}
{'loss': 9.4226, 'grad_norm': 10.287108421325684, 'learning_rate': 2.18e-05, 'epoch': 0.01}
{'loss': 11.813, 'grad_norm': 28.699743270874023, 'learning_rate': 2.38e-05, 'epoch': 0.01}
{'loss': 11.0956, 'grad_norm': 16.185779571533203, 'learning_rate': 2.58e-05, 'epoch': 0.01}
{'loss': 8.4738, 'grad_norm': 104.26132202148438, 'learning_rate': 2.7800000000000005e-05, 'epoch': 0.01}
{'loss': 4.0621, 'grad_norm': 9.508763313293457, 'learning_rate': 2.98e-05, 'epoch': 0.01}
{'loss': 5.4814, 'grad_norm': 116.54059600830078, 'learning_rate': 3.18e-05, 'epoch': 0.01}
{'loss': 4.406, 'grad_norm': 107.4671401977539, 'learning_rate': 3.38e-05, 'epoch': 0.01}
{'loss': 4.445, 'grad_norm': 45.72964859008789, 'learning_rate': 3.58e-05, 'epoch': 0.01}
{'loss': 5.5095, 'grad_norm': 21.805511474609375, 'learning_rate': 3.7800000000000004e-05, 'epoch': 0.02}
{'loss': 4.4308, 'grad_norm': 20.183076858520508, 'learning_rate': 3.9800000000000005e-05, 'epoch': 0.02}
{'loss': 3.1904, 'grad_norm': 13.762149810791016, 'learning_rate': 4.18e-05, 'epoch': 0.02}
{'loss': 5.6915, 'grad_norm': 355.32659912109375, 'learning_rate': 4.38e-05, 'epoch': 0.02}
{'loss': 3.5057, 'grad_norm': 27.30221939086914, 'learning_rate': 4.58e-05, 'epoch': 0.02}
{'loss': 3.5883, 'grad_norm': 105.8956298828125, 'learning_rate': 4.78e-05, 'epoch': 0.02}
{'loss': 3.0337, 'grad_norm': 20.596067428588867, 'learning_rate': 4.9800000000000004e-05, 'epoch': 0.02}
{'loss': 3.4512, 'grad_norm': 53.42893600463867, 'learning_rate': 5.1800000000000005e-05, 'epoch': 0.02}
{'loss': 4.3108, 'grad_norm': 8.836716651916504, 'learning_rate': 5.380000000000001e-05, 'epoch': 0.02}
