  0%|          | 0/10000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                   
{'loss': 7.6038, 'grad_norm': 8.873235702514648, 'learning_rate': 1.8e-06, 'epoch': 0.0}
{'loss': 4.4779, 'grad_norm': 2.9434454441070557, 'learning_rate': 3.8e-06, 'epoch': 0.0}
{'loss': 7.0925, 'grad_norm': 2.2626497745513916, 'learning_rate': 5.8e-06, 'epoch': 0.0}
{'loss': 7.0954, 'grad_norm': 4.640055179595947, 'learning_rate': 7.8e-06, 'epoch': 0.0}
{'loss': 9.6821, 'grad_norm': 16.15399932861328, 'learning_rate': 9.800000000000001e-06, 'epoch': 0.0}
{'loss': 7.1348, 'grad_norm': 7.78217077255249, 'learning_rate': 1.18e-05, 'epoch': 0.0}
{'loss': 9.7333, 'grad_norm': 43.1046257019043, 'learning_rate': 1.3800000000000002e-05, 'epoch': 0.01}
{'loss': 10.176, 'grad_norm': 9.326810836791992, 'learning_rate': 1.58e-05, 'epoch': 0.01}
{'loss': 11.1454, 'grad_norm': 36.51716613769531, 'learning_rate': 1.78e-05, 'epoch': 0.01}
{'loss': 9.4197, 'grad_norm': 36.26839065551758, 'learning_rate': 1.9800000000000004e-05, 'epoch': 0.01}
{'loss': 8.7969, 'grad_norm': 7.32682466506958, 'learning_rate': 2.18e-05, 'epoch': 0.01}
{'loss': 10.4278, 'grad_norm': 29.938827514648438, 'learning_rate': 2.38e-05, 'epoch': 0.01}
{'loss': 9.776, 'grad_norm': 62.87919235229492, 'learning_rate': 2.58e-05, 'epoch': 0.01}
{'loss': 7.1236, 'grad_norm': 97.22636413574219, 'learning_rate': 2.7800000000000005e-05, 'epoch': 0.01}
{'loss': 3.8111, 'grad_norm': 8.617818832397461, 'learning_rate': 2.98e-05, 'epoch': 0.01}
{'loss': 5.2921, 'grad_norm': 126.95943450927734, 'learning_rate': 3.18e-05, 'epoch': 0.01}
{'loss': 4.3351, 'grad_norm': 112.50469207763672, 'learning_rate': 3.38e-05, 'epoch': 0.01}
{'loss': 4.2859, 'grad_norm': 41.86848449707031, 'learning_rate': 3.58e-05, 'epoch': 0.01}
{'loss': 6.9252, 'grad_norm': 18.38977813720703, 'learning_rate': 3.7800000000000004e-05, 'epoch': 0.02}
{'loss': 4.2817, 'grad_norm': 16.56402587890625, 'learning_rate': 3.9800000000000005e-05, 'epoch': 0.02}
{'loss': 3.9718, 'grad_norm': 10.242147445678711, 'learning_rate': 4.18e-05, 'epoch': 0.02}
{'loss': 4.7212, 'grad_norm': 130.38868713378906, 'learning_rate': 4.38e-05, 'epoch': 0.02}
{'loss': 2.957, 'grad_norm': 28.630359649658203, 'learning_rate': 4.58e-05, 'epoch': 0.02}
{'loss': 3.6999, 'grad_norm': 244.46737670898438, 'learning_rate': 4.78e-05, 'epoch': 0.02}
{'loss': 2.8961, 'grad_norm': 12.768583297729492, 'learning_rate': 4.9800000000000004e-05, 'epoch': 0.02}
{'loss': 4.8092, 'grad_norm': 30.108373641967773, 'learning_rate': 5.1800000000000005e-05, 'epoch': 0.02}
{'loss': 3.7792, 'grad_norm': 10.790154457092285, 'learning_rate': 5.380000000000001e-05, 'epoch': 0.02}
{'loss': 4.8512, 'grad_norm': 9.955474853515625, 'learning_rate': 5.580000000000001e-05, 'epoch': 0.02}
{'loss': 3.1097, 'grad_norm': 15.244712829589844, 'learning_rate': 5.7799999999999995e-05, 'epoch': 0.02}
{'loss': 3.1925, 'grad_norm': 13.647997856140137, 'learning_rate': 5.9800000000000003e-05, 'epoch': 0.02}
{'loss': 5.1204, 'grad_norm': 31.676027297973633, 'learning_rate': 6.18e-05, 'epoch': 0.03}
{'loss': 5.3795, 'grad_norm': 81.59371948242188, 'learning_rate': 6.38e-05, 'epoch': 0.03}
{'loss': 3.5696, 'grad_norm': 77.50120544433594, 'learning_rate': 6.58e-05, 'epoch': 0.03}
{'loss': 5.8741, 'grad_norm': 75.80559539794922, 'learning_rate': 6.780000000000001e-05, 'epoch': 0.03}
{'loss': 3.7833, 'grad_norm': 14.288753509521484, 'learning_rate': 6.98e-05, 'epoch': 0.03}
{'loss': 4.6538, 'grad_norm': 18.13307762145996, 'learning_rate': 7.18e-05, 'epoch': 0.03}
{'loss': 3.7222, 'grad_norm': 76.50726318359375, 'learning_rate': 7.38e-05, 'epoch': 0.03}
{'loss': 3.5825, 'grad_norm': 62.140132904052734, 'learning_rate': 7.58e-05, 'epoch': 0.03}
{'loss': 2.8301, 'grad_norm': 12.66971492767334, 'learning_rate': 7.780000000000001e-05, 'epoch': 0.03}
{'loss': 3.1341, 'grad_norm': 32.62746047973633, 'learning_rate': 7.98e-05, 'epoch': 0.03}
{'loss': 4.0779, 'grad_norm': 55.25851821899414, 'learning_rate': 8.18e-05, 'epoch': 0.03}
{'loss': 2.3954, 'grad_norm': 12.846548080444336, 'learning_rate': 8.38e-05, 'epoch': 0.03}
{'loss': 3.3207, 'grad_norm': 101.83349609375, 'learning_rate': 8.58e-05, 'epoch': 0.04}
{'loss': 3.1783, 'grad_norm': 10.195799827575684, 'learning_rate': 8.78e-05, 'epoch': 0.04}
{'loss': 4.0066, 'grad_norm': 14.200908660888672, 'learning_rate': 8.98e-05, 'epoch': 0.04}
{'loss': 3.3206, 'grad_norm': 90.27230834960938, 'learning_rate': 9.180000000000001e-05, 'epoch': 0.04}
{'loss': 4.7616, 'grad_norm': 81.56868743896484, 'learning_rate': 9.38e-05, 'epoch': 0.04}
{'loss': 3.0577, 'grad_norm': 27.509788513183594, 'learning_rate': 9.58e-05, 'epoch': 0.04}
{'loss': 3.5731, 'grad_norm': 70.12348937988281, 'learning_rate': 9.78e-05, 'epoch': 0.04}
{'loss': 3.0779, 'grad_norm': 11.397017478942871, 'learning_rate': 9.98e-05, 'epoch': 0.04}
{'loss': 3.9062, 'grad_norm': 21.948617935180664, 'learning_rate': 9.9999778549206e-05, 'epoch': 0.04}
{'loss': 2.5617, 'grad_norm': 46.230289459228516, 'learning_rate': 9.999901304280685e-05, 'epoch': 0.04}
{'loss': 2.8026, 'grad_norm': 11.786735534667969, 'learning_rate': 9.999770075521164e-05, 'epoch': 0.04}
{'loss': 3.1208, 'grad_norm': 103.8936538696289, 'learning_rate': 9.99958417007713e-05, 'epoch': 0.04}
{'loss': 2.3757, 'grad_norm': 15.450666427612305, 'learning_rate': 9.999343589981615e-05, 'epoch': 0.05}
{'loss': 3.0815, 'grad_norm': 42.829071044921875, 'learning_rate': 9.999048337865568e-05, 'epoch': 0.05}
{'loss': 3.1246, 'grad_norm': 8.821223258972168, 'learning_rate': 9.998698416957815e-05, 'epoch': 0.05}
{'loss': 4.7397, 'grad_norm': 11.034014701843262, 'learning_rate': 9.998293831085037e-05, 'epoch': 0.05}
{'loss': 2.8052, 'grad_norm': 10.18252944946289, 'learning_rate': 9.997834584671719e-05, 'epoch': 0.05}
{'loss': 3.774, 'grad_norm': 5.777703285217285, 'learning_rate': 9.997320682740107e-05, 'epoch': 0.05}
{'loss': 1.9368, 'grad_norm': 7.221888065338135, 'learning_rate': 9.996752130910149e-05, 'epoch': 0.05}
{'loss': 2.2673, 'grad_norm': 19.035858154296875, 'learning_rate': 9.99612893539944e-05, 'epoch': 0.05}
{'loss': 1.922, 'grad_norm': 13.686819076538086, 'learning_rate': 9.995451103023144e-05, 'epoch': 0.05}
{'loss': 3.7222, 'grad_norm': 7.669304847717285, 'learning_rate': 9.994718641193928e-05, 'epoch': 0.05}
{'loss': 2.3229, 'grad_norm': 12.022539138793945, 'learning_rate': 9.993931557921874e-05, 'epoch': 0.05}
{'loss': 5.2702, 'grad_norm': 12.326162338256836, 'learning_rate': 9.993089861814402e-05, 'epoch': 0.05}
