  0%|          | 0/10000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                   
{'loss': 7.5997, 'grad_norm': 8.720176696777344, 'learning_rate': 1.8e-06, 'epoch': 0.0}
{'loss': 4.5071, 'grad_norm': 3.2120614051818848, 'learning_rate': 3.8e-06, 'epoch': 0.0}
{'loss': 7.0974, 'grad_norm': 2.3261446952819824, 'learning_rate': 5.8e-06, 'epoch': 0.0}
{'loss': 7.1553, 'grad_norm': 4.215179443359375, 'learning_rate': 7.8e-06, 'epoch': 0.0}
{'loss': 9.7113, 'grad_norm': 11.007048606872559, 'learning_rate': 9.800000000000001e-06, 'epoch': 0.0}
{'loss': 7.2605, 'grad_norm': 6.364574432373047, 'learning_rate': 1.18e-05, 'epoch': 0.0}
{'loss': 9.9626, 'grad_norm': 31.870695114135742, 'learning_rate': 1.3800000000000002e-05, 'epoch': 0.01}
{'loss': 10.3701, 'grad_norm': 7.798490047454834, 'learning_rate': 1.58e-05, 'epoch': 0.01}
{'loss': 11.592, 'grad_norm': 25.6536922454834, 'learning_rate': 1.78e-05, 'epoch': 0.01}
{'loss': 10.1271, 'grad_norm': 23.703428268432617, 'learning_rate': 1.9800000000000004e-05, 'epoch': 0.01}
{'loss': 9.4945, 'grad_norm': 10.00910758972168, 'learning_rate': 2.18e-05, 'epoch': 0.01}
{'loss': 11.9445, 'grad_norm': 28.502233505249023, 'learning_rate': 2.38e-05, 'epoch': 0.01}
{'loss': 11.384, 'grad_norm': 14.71911334991455, 'learning_rate': 2.58e-05, 'epoch': 0.01}
{'loss': 9.4524, 'grad_norm': 104.04804992675781, 'learning_rate': 2.7800000000000005e-05, 'epoch': 0.01}
{'loss': 4.5459, 'grad_norm': 9.11925983428955, 'learning_rate': 2.98e-05, 'epoch': 0.01}
{'loss': 6.4435, 'grad_norm': 91.85334777832031, 'learning_rate': 3.18e-05, 'epoch': 0.01}
{'loss': 4.6357, 'grad_norm': 66.55177307128906, 'learning_rate': 3.38e-05, 'epoch': 0.01}
{'loss': 5.2576, 'grad_norm': 43.25572967529297, 'learning_rate': 3.58e-05, 'epoch': 0.01}
{'loss': 5.6573, 'grad_norm': 14.321128845214844, 'learning_rate': 3.7800000000000004e-05, 'epoch': 0.02}
{'loss': 4.3758, 'grad_norm': 25.495885848999023, 'learning_rate': 3.9800000000000005e-05, 'epoch': 0.02}
{'loss': 3.8305, 'grad_norm': 15.64985466003418, 'learning_rate': 4.18e-05, 'epoch': 0.02}
{'loss': 5.0984, 'grad_norm': 528.7353515625, 'learning_rate': 4.38e-05, 'epoch': 0.02}
{'loss': 3.1478, 'grad_norm': 25.252399444580078, 'learning_rate': 4.58e-05, 'epoch': 0.02}
{'loss': 3.3338, 'grad_norm': 87.4556655883789, 'learning_rate': 4.78e-05, 'epoch': 0.02}
