  0%|          | 0/10000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                   
{'loss': 7.6096, 'grad_norm': 9.902200698852539, 'learning_rate': 1.8e-06, 'epoch': 0.0}
{'loss': 4.5127, 'grad_norm': 2.858297109603882, 'learning_rate': 3.8e-06, 'epoch': 0.0}
{'loss': 7.1067, 'grad_norm': 2.1588587760925293, 'learning_rate': 5.8e-06, 'epoch': 0.0}
{'loss': 7.1535, 'grad_norm': 3.9472761154174805, 'learning_rate': 7.8e-06, 'epoch': 0.0}
{'loss': 9.7444, 'grad_norm': 11.378776550292969, 'learning_rate': 9.800000000000001e-06, 'epoch': 0.0}
{'loss': 7.311, 'grad_norm': 5.742291450500488, 'learning_rate': 1.18e-05, 'epoch': 0.0}
{'loss': 9.9057, 'grad_norm': 27.823047637939453, 'learning_rate': 1.3800000000000002e-05, 'epoch': 0.01}
{'loss': 10.2928, 'grad_norm': 6.672277450561523, 'learning_rate': 1.58e-05, 'epoch': 0.01}
{'loss': 11.2128, 'grad_norm': 34.402732849121094, 'learning_rate': 1.78e-05, 'epoch': 0.01}
{'loss': 9.4613, 'grad_norm': 37.38655471801758, 'learning_rate': 1.9800000000000004e-05, 'epoch': 0.01}
{'loss': 8.7255, 'grad_norm': 8.899251937866211, 'learning_rate': 2.18e-05, 'epoch': 0.01}
{'loss': 10.5305, 'grad_norm': 56.7466926574707, 'learning_rate': 2.38e-05, 'epoch': 0.01}
{'loss': 9.7603, 'grad_norm': 26.144983291625977, 'learning_rate': 2.58e-05, 'epoch': 0.01}
{'loss': 7.5821, 'grad_norm': 106.53299713134766, 'learning_rate': 2.7800000000000005e-05, 'epoch': 0.01}
{'loss': 4.0537, 'grad_norm': 11.08263111114502, 'learning_rate': 2.98e-05, 'epoch': 0.01}
{'loss': 5.34, 'grad_norm': 108.91375732421875, 'learning_rate': 3.18e-05, 'epoch': 0.01}
{'loss': 4.1456, 'grad_norm': 109.6166763305664, 'learning_rate': 3.38e-05, 'epoch': 0.01}
{'loss': 4.211, 'grad_norm': 53.520851135253906, 'learning_rate': 3.58e-05, 'epoch': 0.01}
{'loss': 4.2882, 'grad_norm': 14.794656753540039, 'learning_rate': 3.7800000000000004e-05, 'epoch': 0.02}
{'loss': 4.0567, 'grad_norm': 16.506227493286133, 'learning_rate': 3.9800000000000005e-05, 'epoch': 0.02}
{'loss': 4.3361, 'grad_norm': 11.459914207458496, 'learning_rate': 4.18e-05, 'epoch': 0.02}
{'loss': 5.0279, 'grad_norm': 260.892333984375, 'learning_rate': 4.38e-05, 'epoch': 0.02}
{'loss': 3.3972, 'grad_norm': 18.137529373168945, 'learning_rate': 4.58e-05, 'epoch': 0.02}
{'loss': 3.7548, 'grad_norm': 116.9145736694336, 'learning_rate': 4.78e-05, 'epoch': 0.02}
{'loss': 2.6905, 'grad_norm': 19.419578552246094, 'learning_rate': 4.9800000000000004e-05, 'epoch': 0.02}
{'loss': 3.6882, 'grad_norm': 40.182960510253906, 'learning_rate': 5.1800000000000005e-05, 'epoch': 0.02}
{'loss': 3.7384, 'grad_norm': 10.257564544677734, 'learning_rate': 5.380000000000001e-05, 'epoch': 0.02}
{'loss': 5.4733, 'grad_norm': 11.414093017578125, 'learning_rate': 5.580000000000001e-05, 'epoch': 0.02}
{'loss': 4.3649, 'grad_norm': 13.5211181640625, 'learning_rate': 5.7799999999999995e-05, 'epoch': 0.02}
{'loss': 3.4353, 'grad_norm': 13.392708778381348, 'learning_rate': 5.9800000000000003e-05, 'epoch': 0.02}
{'loss': 4.4417, 'grad_norm': 34.13350296020508, 'learning_rate': 6.18e-05, 'epoch': 0.03}
{'loss': 4.6499, 'grad_norm': 49.56850814819336, 'learning_rate': 6.38e-05, 'epoch': 0.03}
{'loss': 3.9741, 'grad_norm': 257.7773742675781, 'learning_rate': 6.58e-05, 'epoch': 0.03}
{'loss': 5.3845, 'grad_norm': 82.26248931884766, 'learning_rate': 6.780000000000001e-05, 'epoch': 0.03}
{'loss': 3.9547, 'grad_norm': 17.10495376586914, 'learning_rate': 6.98e-05, 'epoch': 0.03}
{'loss': 5.7513, 'grad_norm': 16.601411819458008, 'learning_rate': 7.18e-05, 'epoch': 0.03}
{'loss': 3.7245, 'grad_norm': 49.64432907104492, 'learning_rate': 7.38e-05, 'epoch': 0.03}
{'loss': 5.2689, 'grad_norm': 162.68287658691406, 'learning_rate': 7.58e-05, 'epoch': 0.03}
{'loss': 2.8879, 'grad_norm': 6.746670722961426, 'learning_rate': 7.780000000000001e-05, 'epoch': 0.03}
{'loss': 4.0778, 'grad_norm': 32.137916564941406, 'learning_rate': 7.98e-05, 'epoch': 0.03}
