  0%|          | 0/10000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                   
{'loss': 37053441192755.2, 'grad_norm': 179537072.0, 'learning_rate': 1.8e-06, 'epoch': 0.0}
{'loss': 25811055594700.8, 'grad_norm': 81136784.0, 'learning_rate': 3.8e-06, 'epoch': 0.0}
{'loss': 24255148326912.0, 'grad_norm': 7866370.5, 'learning_rate': 5.8e-06, 'epoch': 0.0}
{'loss': 30860467450675.2, 'grad_norm': 74823192.0, 'learning_rate': 7.8e-06, 'epoch': 0.0}
{'loss': 32220777545728.0, 'grad_norm': 159101056.0, 'learning_rate': 9.800000000000001e-06, 'epoch': 0.0}
{'loss': 37012766510284.8, 'grad_norm': 42949616.0, 'learning_rate': 1.18e-05, 'epoch': 0.0}
{'loss': 34662929504665.6, 'grad_norm': 87824416.0, 'learning_rate': 1.3800000000000002e-05, 'epoch': 0.01}
{'loss': 38687562163814.4, 'grad_norm': 93526184.0, 'learning_rate': 1.58e-05, 'epoch': 0.01}
{'loss': 32236809853337.6, 'grad_norm': 192652352.0, 'learning_rate': 1.78e-05, 'epoch': 0.01}
{'loss': 36917471923404.8, 'grad_norm': 258293856.0, 'learning_rate': 1.9800000000000004e-05, 'epoch': 0.01}
{'loss': 34890827851366.4, 'grad_norm': 349283072.0, 'learning_rate': 2.18e-05, 'epoch': 0.01}
{'loss': 32838873671270.4, 'grad_norm': 358017184.0, 'learning_rate': 2.38e-05, 'epoch': 0.01}
{'loss': 38744738915942.4, 'grad_norm': 607454272.0, 'learning_rate': 2.58e-05, 'epoch': 0.01}
{'loss': 21013080519475.2, 'grad_norm': 956107968.0, 'learning_rate': 2.7800000000000005e-05, 'epoch': 0.01}
{'loss': 35410404809113.6, 'grad_norm': 1524909440.0, 'learning_rate': 2.98e-05, 'epoch': 0.01}
{'loss': 38660537424281.6, 'grad_norm': 2625442304.0, 'learning_rate': 3.18e-05, 'epoch': 0.01}
{'loss': 27417532746956.8, 'grad_norm': 157477296.0, 'learning_rate': 3.38e-05, 'epoch': 0.01}
{'loss': 28979654295552.0, 'grad_norm': 3726343168.0, 'learning_rate': 3.58e-05, 'epoch': 0.01}
{'loss': 27412159004672.0, 'grad_norm': 11953924096.0, 'learning_rate': 3.7800000000000004e-05, 'epoch': 0.02}
{'loss': 32615243448320.0, 'grad_norm': 11583194112.0, 'learning_rate': 3.9800000000000005e-05, 'epoch': 0.02}
{'loss': 32246288980377.6, 'grad_norm': 26498252800.0, 'learning_rate': 4.18e-05, 'epoch': 0.02}
{'loss': 23681312174899.2, 'grad_norm': 43190628352.0, 'learning_rate': 4.38e-05, 'epoch': 0.02}
{'loss': 27245015990272.0, 'grad_norm': 63864463360.0, 'learning_rate': 4.58e-05, 'epoch': 0.02}
{'loss': 27416662009446.4, 'grad_norm': 4661822976.0, 'learning_rate': 4.78e-05, 'epoch': 0.02}
{'loss': 30641783151001.6, 'grad_norm': 134702006272.0, 'learning_rate': 4.9800000000000004e-05, 'epoch': 0.02}
{'loss': 29054034404966.4, 'grad_norm': 84261257216.0, 'learning_rate': 5.1800000000000005e-05, 'epoch': 0.02}
{'loss': 24147660059443.2, 'grad_norm': 359658782720.0, 'learning_rate': 5.380000000000001e-05, 'epoch': 0.02}
{'loss': 35360368440115.2, 'grad_norm': 335920660480.0, 'learning_rate': 5.580000000000001e-05, 'epoch': 0.02}
{'loss': 23846415079833.6, 'grad_norm': 192617889792.0, 'learning_rate': 5.7799999999999995e-05, 'epoch': 0.02}
{'loss': 31492780589056.0, 'grad_norm': 812228804608.0, 'learning_rate': 5.9800000000000003e-05, 'epoch': 0.02}
{'loss': 31992489967616.0, 'grad_norm': 376301748224.0, 'learning_rate': 6.18e-05, 'epoch': 0.03}
{'loss': 33782222972518.4, 'grad_norm': 1395099435008.0, 'learning_rate': 6.38e-05, 'epoch': 0.03}
{'loss': 26756367830220.8, 'grad_norm': 494924660736.0, 'learning_rate': 6.58e-05, 'epoch': 0.03}
{'loss': 30112005645926.4, 'grad_norm': 1515439521792.0, 'learning_rate': 6.780000000000001e-05, 'epoch': 0.03}
{'loss': 34669180695347.2, 'grad_norm': 1817258491904.0, 'learning_rate': 6.98e-05, 'epoch': 0.03}
{'loss': 33150755405824.0, 'grad_norm': 2400886718464.0, 'learning_rate': 7.18e-05, 'epoch': 0.03}
{'loss': 36704508654387.2, 'grad_norm': 2930618662912.0, 'learning_rate': 7.38e-05, 'epoch': 0.03}
{'loss': 33539768713216.0, 'grad_norm': 5934463057920.0, 'learning_rate': 7.58e-05, 'epoch': 0.03}
{'loss': 26961476006707.2, 'grad_norm': 9294983462912.0, 'learning_rate': 7.780000000000001e-05, 'epoch': 0.03}
{'loss': 27203472248012.8, 'grad_norm': 5689044893696.0, 'learning_rate': 7.98e-05, 'epoch': 0.03}
{'loss': 28050498519040.0, 'grad_norm': 5486756233216.0, 'learning_rate': 8.18e-05, 'epoch': 0.03}
{'loss': 27462980547379.2, 'grad_norm': 11748616699904.0, 'learning_rate': 8.38e-05, 'epoch': 0.03}
{'loss': 23617082281164.8, 'grad_norm': 10301988667392.0, 'learning_rate': 8.58e-05, 'epoch': 0.04}
{'loss': 27592259062988.8, 'grad_norm': 23366761185280.0, 'learning_rate': 8.78e-05, 'epoch': 0.04}
{'loss': 26275153654579.2, 'grad_norm': 19157582086144.0, 'learning_rate': 8.98e-05, 'epoch': 0.04}
{'loss': 22777733264179.2, 'grad_norm': 15839729287168.0, 'learning_rate': 9.180000000000001e-05, 'epoch': 0.04}
{'loss': 19062866732646.4, 'grad_norm': 8514373681152.0, 'learning_rate': 9.38e-05, 'epoch': 0.04}
{'loss': 14884006159974.4, 'grad_norm': 20297776365568.0, 'learning_rate': 9.58e-05, 'epoch': 0.04}
{'loss': 14106321800396.8, 'grad_norm': 22254301741056.0, 'learning_rate': 9.78e-05, 'epoch': 0.04}
{'loss': 9575675723776.0, 'grad_norm': 11337616850944.0, 'learning_rate': 9.98e-05, 'epoch': 0.04}
{'loss': 7420973678592.0, 'grad_norm': 22182616891392.0, 'learning_rate': 9.9999778549206e-05, 'epoch': 0.04}
{'loss': 5651736559616.0, 'grad_norm': 17671521304576.0, 'learning_rate': 9.999901304280685e-05, 'epoch': 0.04}
{'loss': 3562010155417.6, 'grad_norm': 48876412928.0, 'learning_rate': 9.999770075521164e-05, 'epoch': 0.04}
{'loss': 1969240198348.8, 'grad_norm': 12391341359104.0, 'learning_rate': 9.99958417007713e-05, 'epoch': 0.04}
{'loss': 2278221152256.0, 'grad_norm': 13362681348096.0, 'learning_rate': 9.999343589981615e-05, 'epoch': 0.05}
{'loss': 254567750041.6, 'grad_norm': 5774937948160.0, 'learning_rate': 9.999048337865568e-05, 'epoch': 0.05}
{'loss': 1591542389145.6, 'grad_norm': 4984901468160.0, 'learning_rate': 9.998698416957815e-05, 'epoch': 0.05}
{'loss': 1273656822988.8, 'grad_norm': 4769163771904.0, 'learning_rate': 9.998293831085037e-05, 'epoch': 0.05}
{'loss': 317916001075.2, 'grad_norm': 3373645955072.0, 'learning_rate': 9.997834584671719e-05, 'epoch': 0.05}
{'loss': 154794157670.4, 'grad_norm': 5235963068416.0, 'learning_rate': 9.997320682740107e-05, 'epoch': 0.05}
{'loss': 277754884915.2, 'grad_norm': 381534011392.0, 'learning_rate': 9.996752130910149e-05, 'epoch': 0.05}
{'loss': 191560771174.4, 'grad_norm': 4726442688512.0, 'learning_rate': 9.99612893539944e-05, 'epoch': 0.05}
{'loss': 176849040179.2, 'grad_norm': 1860827086848.0, 'learning_rate': 9.995451103023144e-05, 'epoch': 0.05}
{'loss': 1024970666803.2, 'grad_norm': 276152221696.0, 'learning_rate': 9.994718641193928e-05, 'epoch': 0.05}
{'loss': 155703194419.2, 'grad_norm': 1485316947968.0, 'learning_rate': 9.993931557921874e-05, 'epoch': 0.05}
{'loss': 454660299161.6, 'grad_norm': 157876797440.0, 'learning_rate': 9.993089861814402e-05, 'epoch': 0.05}
{'loss': 77567813222.4, 'grad_norm': 1134383726592.0, 'learning_rate': 9.992193562076166e-05, 'epoch': 0.05}
{'loss': 1719535245721.6, 'grad_norm': 1962432659456.0, 'learning_rate': 9.991242668508954e-05, 'epoch': 0.06}
{'loss': 1673337608601.6, 'grad_norm': 3537500635136.0, 'learning_rate': 9.990237191511587e-05, 'epoch': 0.06}
{'loss': 65247418777.6, 'grad_norm': 1447139082240.0, 'learning_rate': 9.989177142079802e-05, 'epoch': 0.06}
{'loss': 46955347968.0, 'grad_norm': 1270255058944.0, 'learning_rate': 9.988062531806126e-05, 'epoch': 0.06}
{'loss': 243876338073.6, 'grad_norm': 1593679544320.0, 'learning_rate': 9.986893372879762e-05, 'epoch': 0.06}
{'loss': 117362668339.2, 'grad_norm': 17104608690176.0, 'learning_rate': 9.985669678086443e-05, 'epoch': 0.06}
{'loss': 33131747737.6, 'grad_norm': 408309858304.0, 'learning_rate': 9.984391460808298e-05, 'epoch': 0.06}
{'loss': 68148441907.2, 'grad_norm': 1086031265792.0, 'learning_rate': 9.983058735023709e-05, 'epoch': 0.06}
{'loss': 77483769856.0, 'grad_norm': 2832292380672.0, 'learning_rate': 9.98167151530715e-05, 'epoch': 0.06}
{'loss': 41938619596.8, 'grad_norm': 3151200780288.0, 'learning_rate': 9.980229816829034e-05, 'epoch': 0.06}
{'loss': 68955111424.0, 'grad_norm': 658312855552.0, 'learning_rate': 9.978733655355544e-05, 'epoch': 0.06}
{'loss': 54277354291.2, 'grad_norm': 1567552307200.0, 'learning_rate': 9.977183047248464e-05, 'epoch': 0.06}
{'loss': 1268643056844.8, 'grad_norm': 901129568256.0, 'learning_rate': 9.975578009464992e-05, 'epoch': 0.07}
{'loss': 73049178112.0, 'grad_norm': 18123564515328.0, 'learning_rate': 9.97391855955757e-05, 'epoch': 0.07}
{'loss': 318593119027.2, 'grad_norm': 752485990400.0, 'learning_rate': 9.972204715673669e-05, 'epoch': 0.07}
{'loss': 26667458560.0, 'grad_norm': 1981914021888.0, 'learning_rate': 9.970436496555617e-05, 'epoch': 0.07}
{'loss': 31808264601.6, 'grad_norm': 1034508959744.0, 'learning_rate': 9.968613921540373e-05, 'epoch': 0.07}
{'loss': 48429871923.2, 'grad_norm': 649779609600.0, 'learning_rate': 9.966737010559326e-05, 'epoch': 0.07}
{'loss': 31586838118.4, 'grad_norm': 529107615744.0, 'learning_rate': 9.964805784138072e-05, 'epoch': 0.07}
{'loss': 66938706329.6, 'grad_norm': 683448467456.0, 'learning_rate': 9.962820263396195e-05, 'epoch': 0.07}
{'loss': 52779712512.0, 'grad_norm': 2168127356928.0, 'learning_rate': 9.960780470047033e-05, 'epoch': 0.07}
{'loss': 40337208115.2, 'grad_norm': 4453258231808.0, 'learning_rate': 9.958686426397437e-05, 'epoch': 0.07}
{'loss': 32550361497.6, 'grad_norm': 912291528704.0, 'learning_rate': 9.956538155347534e-05, 'epoch': 0.07}
{'loss': 45693360537.6, 'grad_norm': 234807918592.0, 'learning_rate': 9.95433568039047e-05, 'epoch': 0.07}
