  0%|          | 0/10000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                    
{'loss': 37053444548198.4, 'grad_norm': 164273792.0, 'learning_rate': 1.8e-06, 'epoch': 0.0}
{'loss': 25811055594700.8, 'grad_norm': 76401576.0, 'learning_rate': 3.8e-06, 'epoch': 0.0}
{'loss': 24255148326912.0, 'grad_norm': 6679117.0, 'learning_rate': 5.8e-06, 'epoch': 0.0}
{'loss': 30860467450675.2, 'grad_norm': 73581992.0, 'learning_rate': 7.8e-06, 'epoch': 0.0}
{'loss': 32220774190284.8, 'grad_norm': 157385824.0, 'learning_rate': 9.800000000000001e-06, 'epoch': 0.0}
{'loss': 37012766510284.8, 'grad_norm': 42728796.0, 'learning_rate': 1.18e-05, 'epoch': 0.0}
{'loss': 34662929504665.6, 'grad_norm': 90444136.0, 'learning_rate': 1.3800000000000002e-05, 'epoch': 0.01}
{'loss': 38687558808371.2, 'grad_norm': 95045720.0, 'learning_rate': 1.58e-05, 'epoch': 0.01}
{'loss': 32236806497894.4, 'grad_norm': 195265744.0, 'learning_rate': 1.78e-05, 'epoch': 0.01}
{'loss': 36917471923404.8, 'grad_norm': 263810512.0, 'learning_rate': 1.9800000000000004e-05, 'epoch': 0.01}
{'loss': 34890824495923.2, 'grad_norm': 353729888.0, 'learning_rate': 2.18e-05, 'epoch': 0.01}
{'loss': 32838873671270.4, 'grad_norm': 360225600.0, 'learning_rate': 2.38e-05, 'epoch': 0.01}
{'loss': 38744728849612.8, 'grad_norm': 602160384.0, 'learning_rate': 2.58e-05, 'epoch': 0.01}
{'loss': 21013075486310.4, 'grad_norm': 943605952.0, 'learning_rate': 2.7800000000000005e-05, 'epoch': 0.01}
{'loss': 35410398098227.2, 'grad_norm': 1491381248.0, 'learning_rate': 2.98e-05, 'epoch': 0.01}
{'loss': 38660527357952.0, 'grad_norm': 2535800320.0, 'learning_rate': 3.18e-05, 'epoch': 0.01}
{'loss': 27417527713792.0, 'grad_norm': 142579440.0, 'learning_rate': 3.38e-05, 'epoch': 0.01}
{'loss': 28979664361881.6, 'grad_norm': 3523714304.0, 'learning_rate': 3.58e-05, 'epoch': 0.01}
{'loss': 27412192559104.0, 'grad_norm': 11182745600.0, 'learning_rate': 3.7800000000000004e-05, 'epoch': 0.02}
{'loss': 32615337400729.6, 'grad_norm': 10836573184.0, 'learning_rate': 3.9800000000000005e-05, 'epoch': 0.02}
{'loss': 32246473529753.6, 'grad_norm': 24687380480.0, 'learning_rate': 4.18e-05, 'epoch': 0.02}
{'loss': 23681552089088.0, 'grad_norm': 40108576768.0, 'learning_rate': 4.38e-05, 'epoch': 0.02}
{'loss': 27245544472576.0, 'grad_norm': 58963935232.0, 'learning_rate': 4.58e-05, 'epoch': 0.02}
{'loss': 27417411951001.6, 'grad_norm': 4207341312.0, 'learning_rate': 4.78e-05, 'epoch': 0.02}
{'loss': 30643135394611.2, 'grad_norm': 124752699392.0, 'learning_rate': 4.9800000000000004e-05, 'epoch': 0.02}
{'loss': 29055920164044.8, 'grad_norm': 78414708736.0, 'learning_rate': 5.1800000000000005e-05, 'epoch': 0.02}
{'loss': 24149836064358.4, 'grad_norm': 334517731328.0, 'learning_rate': 5.380000000000001e-05, 'epoch': 0.02}
{'loss': 35364559388672.0, 'grad_norm': 312364564480.0, 'learning_rate': 5.580000000000001e-05, 'epoch': 0.02}
{'loss': 23850074190643.2, 'grad_norm': 181066088448.0, 'learning_rate': 5.7799999999999995e-05, 'epoch': 0.02}
{'loss': 31499350546841.6, 'grad_norm': 758429974528.0, 'learning_rate': 5.9800000000000003e-05, 'epoch': 0.02}
{'loss': 32001079902208.0, 'grad_norm': 352665993216.0, 'learning_rate': 6.18e-05, 'epoch': 0.03}
{'loss': 33793024144179.2, 'grad_norm': 1312102547456.0, 'learning_rate': 6.38e-05, 'epoch': 0.03}
{'loss': 26767029750988.8, 'grad_norm': 468864892928.0, 'learning_rate': 6.58e-05, 'epoch': 0.03}
{'loss': 30125410641510.4, 'grad_norm': 1433481904128.0, 'learning_rate': 6.780000000000001e-05, 'epoch': 0.03}
{'loss': 34684659354828.8, 'grad_norm': 1726782242816.0, 'learning_rate': 6.98e-05, 'epoch': 0.03}
{'loss': 33167988962099.2, 'grad_norm': 2290534318080.0, 'learning_rate': 7.18e-05, 'epoch': 0.03}
{'loss': 36725235227033.6, 'grad_norm': 2793467543552.0, 'learning_rate': 7.38e-05, 'epoch': 0.03}
{'loss': 33562605859635.2, 'grad_norm': 5683942522880.0, 'learning_rate': 7.58e-05, 'epoch': 0.03}
{'loss': 26988400082944.0, 'grad_norm': 8926550556672.0, 'learning_rate': 7.780000000000001e-05, 'epoch': 0.03}
{'loss': 27244217394790.4, 'grad_norm': 5443775102976.0, 'learning_rate': 7.98e-05, 'epoch': 0.03}
{'loss': 28128391777484.8, 'grad_norm': 5196598476800.0, 'learning_rate': 8.18e-05, 'epoch': 0.03}
{'loss': 27585509588992.0, 'grad_norm': 11147798380544.0, 'learning_rate': 8.38e-05, 'epoch': 0.03}
{'loss': 23780594706022.4, 'grad_norm': 9764544184320.0, 'learning_rate': 8.58e-05, 'epoch': 0.04}
{'loss': 27866784648396.8, 'grad_norm': 22055999242240.0, 'learning_rate': 8.78e-05, 'epoch': 0.04}
{'loss': 26620712294809.6, 'grad_norm': 18048861863936.0, 'learning_rate': 8.98e-05, 'epoch': 0.04}
{'loss': 23221259101798.4, 'grad_norm': 15004501803008.0, 'learning_rate': 9.180000000000001e-05, 'epoch': 0.04}
{'loss': 19565257110323.2, 'grad_norm': 8094605639680.0, 'learning_rate': 9.38e-05, 'epoch': 0.04}
{'loss': 15412572350054.4, 'grad_norm': 19284088586240.0, 'learning_rate': 9.58e-05, 'epoch': 0.04}
{'loss': 14882303272550.4, 'grad_norm': 21263114305536.0, 'learning_rate': 9.78e-05, 'epoch': 0.04}
{'loss': 10356021788672.0, 'grad_norm': 11029169831936.0, 'learning_rate': 9.98e-05, 'epoch': 0.04}
{'loss': 8258191989145.6, 'grad_norm': 21951898714112.0, 'learning_rate': 9.9999778549206e-05, 'epoch': 0.04}
{'loss': 6422059076812.8, 'grad_norm': 1513523642368.0, 'learning_rate': 9.999901304280685e-05, 'epoch': 0.04}
{'loss': 4533101422182.4, 'grad_norm': 93179748352.0, 'learning_rate': 9.999770075521164e-05, 'epoch': 0.04}
{'loss': 2745612160204.8, 'grad_norm': 13944451235840.0, 'learning_rate': 9.99958417007713e-05, 'epoch': 0.04}
{'loss': 2477320988262.4, 'grad_norm': 19048110751744.0, 'learning_rate': 9.999343589981615e-05, 'epoch': 0.05}
{'loss': 425194867916.8, 'grad_norm': 5183494946816.0, 'learning_rate': 9.999048337865568e-05, 'epoch': 0.05}
{'loss': 466003270041.6, 'grad_norm': 4753261068288.0, 'learning_rate': 9.998698416957815e-05, 'epoch': 0.05}
{'loss': 709345673216.0, 'grad_norm': 5090505654272.0, 'learning_rate': 9.998293831085037e-05, 'epoch': 0.05}
{'loss': 392265177497.6, 'grad_norm': 6969033752576.0, 'learning_rate': 9.997834584671719e-05, 'epoch': 0.05}
{'loss': 148657746739.2, 'grad_norm': 3819038310400.0, 'learning_rate': 9.997320682740107e-05, 'epoch': 0.05}
{'loss': 247918860697.6, 'grad_norm': 546732605440.0, 'learning_rate': 9.996752130910149e-05, 'epoch': 0.05}
{'loss': 154374360268.8, 'grad_norm': 4227166371840.0, 'learning_rate': 9.99612893539944e-05, 'epoch': 0.05}
