  0%|          | 0/5000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                   
{'loss': 37053441192755.2, 'grad_norm': 161668272.0, 'learning_rate': 3.6e-06, 'epoch': 0.0}
{'loss': 25811055594700.8, 'grad_norm': 74445880.0, 'learning_rate': 7.6e-06, 'epoch': 0.0}
{'loss': 24255148326912.0, 'grad_norm': 6603994.0, 'learning_rate': 1.16e-05, 'epoch': 0.0}
{'loss': 30860467450675.2, 'grad_norm': 79215400.0, 'learning_rate': 1.56e-05, 'epoch': 0.0}
{'loss': 32220774190284.8, 'grad_norm': 197961744.0, 'learning_rate': 1.9600000000000002e-05, 'epoch': 0.0}
{'loss': 37012763154841.6, 'grad_norm': 64109324.0, 'learning_rate': 2.36e-05, 'epoch': 0.0}
{'loss': 34662916082892.8, 'grad_norm': 171710240.0, 'learning_rate': 2.7600000000000003e-05, 'epoch': 0.01}
{'loss': 38687542031155.2, 'grad_norm': 237662944.0, 'learning_rate': 3.16e-05, 'epoch': 0.01}
{'loss': 32236769588019.2, 'grad_norm': 639397376.0, 'learning_rate': 3.56e-05, 'epoch': 0.01}
{'loss': 36917374615552.0, 'grad_norm': 1206810368.0, 'learning_rate': 3.960000000000001e-05, 'epoch': 0.01}
{'loss': 34890606392115.2, 'grad_norm': 2338734848.0, 'learning_rate': 4.36e-05, 'epoch': 0.01}
{'loss': 32838464307200.0, 'grad_norm': 3156454912.0, 'learning_rate': 4.76e-05, 'epoch': 0.01}
{'loss': 38743641686016.0, 'grad_norm': 5786188800.0, 'learning_rate': 5.16e-05, 'epoch': 0.01}
{'loss': 21011817195110.4, 'grad_norm': 11661492224.0, 'learning_rate': 5.560000000000001e-05, 'epoch': 0.01}
{'loss': 35406153462579.2, 'grad_norm': 21297014784.0, 'learning_rate': 5.96e-05, 'epoch': 0.01}
{'loss': 38651058297241.6, 'grad_norm': 39731806208.0, 'learning_rate': 6.36e-05, 'epoch': 0.01}
{'loss': 27405924591206.4, 'grad_norm': 3776656896.0, 'learning_rate': 6.76e-05, 'epoch': 0.01}
{'loss': 28954458272563.2, 'grad_norm': 61062012928.0, 'learning_rate': 7.16e-05, 'epoch': 0.01}
{'loss': 27368581863833.6, 'grad_norm': 196103471104.0, 'learning_rate': 7.560000000000001e-05, 'epoch': 0.02}
{'loss': 32531629159219.2, 'grad_norm': 187966586880.0, 'learning_rate': 7.960000000000001e-05, 'epoch': 0.02}
{'loss': 32113212103065.6, 'grad_norm': 428349751296.0, 'learning_rate': 8.36e-05, 'epoch': 0.02}
{'loss': 23529823980748.8, 'grad_norm': 682223992832.0, 'learning_rate': 8.76e-05, 'epoch': 0.02}
{'loss': 26951822396620.8, 'grad_norm': 999199473664.0, 'learning_rate': 9.16e-05, 'epoch': 0.02}
{'loss': 26998842222182.4, 'grad_norm': 94879367168.0, 'learning_rate': 9.56e-05, 'epoch': 0.02}
{'loss': 29900085919744.0, 'grad_norm': 2079699107840.0, 'learning_rate': 9.960000000000001e-05, 'epoch': 0.02}
{'loss': 28025292429721.6, 'grad_norm': 1240024219648.0, 'learning_rate': 9.999911419878559e-05, 'epoch': 0.02}
{'loss': 22934930744934.4, 'grad_norm': 5390965669888.0, 'learning_rate': 9.999605221019081e-05, 'epoch': 0.02}
{'loss': 33029633972633.6, 'grad_norm': 4924577939456.0, 'learning_rate': 9.999080323230761e-05, 'epoch': 0.02}
{'loss': 21764080717004.8, 'grad_norm': 2704326524928.0, 'learning_rate': 9.998336749474329e-05, 'epoch': 0.02}
{'loss': 27819254795468.8, 'grad_norm': 10901040136192.0, 'learning_rate': 9.997374532276107e-05, 'epoch': 0.02}
{'loss': 27178457418956.8, 'grad_norm': 4815627747328.0, 'learning_rate': 9.996193713726596e-05, 'epoch': 0.03}
{'loss': 26981605310464.0, 'grad_norm': 16730609942528.0, 'learning_rate': 9.994794345478624e-05, 'epoch': 0.03}
{'loss': 20291517625139.2, 'grad_norm': 6970491273216.0, 'learning_rate': 9.99317648874509e-05, 'epoch': 0.03}
{'loss': 21009459996262.4, 'grad_norm': 15664638066688.0, 'learning_rate': 9.991340214296292e-05, 'epoch': 0.03}
{'loss': 22269435628748.8, 'grad_norm': 17246097244160.0, 'learning_rate': 9.989285602456819e-05, 'epoch': 0.03}
{'loss': 18336022370713.6, 'grad_norm': 19809603420160.0, 'learning_rate': 9.98701274310205e-05, 'epoch': 0.03}
{'loss': 18424054100787.2, 'grad_norm': 21100144623616.0, 'learning_rate': 9.984521735654218e-05, 'epoch': 0.03}
{'loss': 13258800601497.6, 'grad_norm': 34261440659456.0, 'learning_rate': 9.981812689078057e-05, 'epoch': 0.03}
{'loss': 7845126864896.0, 'grad_norm': 45107592036352.0, 'learning_rate': 9.978885721876041e-05, 'epoch': 0.03}
{'loss': 5615714618572.8, 'grad_norm': 20691871072256.0, 'learning_rate': 9.975740962083198e-05, 'epoch': 0.03}
{'loss': 3412462456012.8, 'grad_norm': 14170009370624.0, 'learning_rate': 9.972378547261504e-05, 'epoch': 0.03}
{'loss': 1618656991641.6, 'grad_norm': 19732078002176.0, 'learning_rate': 9.968798624493885e-05, 'epoch': 0.03}
{'loss': 451964462694.4, 'grad_norm': 6777461014528.0, 'learning_rate': 9.965001350377753e-05, 'epoch': 0.04}
{'loss': 345842332467.2, 'grad_norm': 10911789088768.0, 'learning_rate': 9.960986891018183e-05, 'epoch': 0.04}
{'loss': 334020372070.4, 'grad_norm': 6456186765312.0, 'learning_rate': 9.95675542202063e-05, 'epoch': 0.04}
{'loss': 339847151616.0, 'grad_norm': 1999072657408.0, 'learning_rate': 9.952307128483256e-05, 'epoch': 0.04}
{'loss': 130542613299.2, 'grad_norm': 2734609137664.0, 'learning_rate': 9.947642204988835e-05, 'epoch': 0.04}
{'loss': 258816894566.4, 'grad_norm': 3791016427520.0, 'learning_rate': 9.942760855596226e-05, 'epoch': 0.04}
{'loss': 111613273702.4, 'grad_norm': 1899983142912.0, 'learning_rate': 9.937663293831471e-05, 'epoch': 0.04}
{'loss': 99567527526.4, 'grad_norm': 1031071596544.0, 'learning_rate': 9.932349742678433e-05, 'epoch': 0.04}
{'loss': 76136965734.4, 'grad_norm': 3874639839232.0, 'learning_rate': 9.926820434569051e-05, 'epoch': 0.04}
{'loss': 278620877619.2, 'grad_norm': 238671233024.0, 'learning_rate': 9.921075611373179e-05, 'epoch': 0.04}
{'loss': 61589710438.4, 'grad_norm': 157037445120.0, 'learning_rate': 9.915115524387988e-05, 'epoch': 0.04}
{'loss': 198165725184.0, 'grad_norm': 78211052470272.0, 'learning_rate': 9.908940434326997e-05, 'epoch': 0.04}
{'loss': 203641598771.2, 'grad_norm': 1807089532928.0, 'learning_rate': 9.902550611308645e-05, 'epoch': 0.05}
{'loss': 80462852915.2, 'grad_norm': 1361766907904.0, 'learning_rate': 9.895946334844494e-05, 'epoch': 0.05}
{'loss': 87233416396.8, 'grad_norm': 2402368880640.0, 'learning_rate': 9.889127893826989e-05, 'epoch': 0.05}
{'loss': 216222046617.6, 'grad_norm': 2894285766656.0, 'learning_rate': 9.882095586516831e-05, 'epoch': 0.05}
{'loss': 162345766092.8, 'grad_norm': 3198749507584.0, 'learning_rate': 9.874849720529921e-05, 'epoch': 0.05}
{'loss': 57939564953.6, 'grad_norm': 987891892224.0, 'learning_rate': 9.867390612823914e-05, 'epoch': 0.05}
{'loss': 80981177139.2, 'grad_norm': 485722521600.0, 'learning_rate': 9.859718589684344e-05, 'epoch': 0.05}
{'loss': 52699702886.4, 'grad_norm': 3353316950016.0, 'learning_rate': 9.851833986710353e-05, 'epoch': 0.05}
{'loss': 73319658291.2, 'grad_norm': 1731695476736.0, 'learning_rate': 9.843737148800023e-05, 'epoch': 0.05}
{'loss': 43788772966.4, 'grad_norm': 253250551808.0, 'learning_rate': 9.835428430135271e-05, 'epoch': 0.05}
{'loss': 75327674777.6, 'grad_norm': 620067880960.0, 'learning_rate': 9.82690819416637e-05, 'epoch': 0.05}
{'loss': 51758278246.4, 'grad_norm': 78811226112.0, 'learning_rate': 9.818176813596041e-05, 'epoch': 0.05}
{'loss': 72038167347.2, 'grad_norm': 1284810342400.0, 'learning_rate': 9.809234670363159e-05, 'epoch': 0.05}
{'loss': 1680127977062.4, 'grad_norm': 1660643835904.0, 'learning_rate': 9.800082155626034e-05, 'epoch': 0.06}
{'loss': 1668855051059.2, 'grad_norm': 167493154897920.0, 'learning_rate': 9.790719669745312e-05, 'epoch': 0.06}
{'loss': 43185124147.2, 'grad_norm': 10954449354752.0, 'learning_rate': 9.781147622266455e-05, 'epoch': 0.06}
{'loss': 38448136192.0, 'grad_norm': 1667726835712.0, 'learning_rate': 9.771366431901831e-05, 'epoch': 0.06}
{'loss': 441285554995.2, 'grad_norm': 1779984367616.0, 'learning_rate': 9.761376526512394e-05, 'epoch': 0.06}
{'loss': 97569983692.8, 'grad_norm': 15822330265600.0, 'learning_rate': 9.751178343088963e-05, 'epoch': 0.06}
{'loss': 29180595404.8, 'grad_norm': 495638183936.0, 'learning_rate': 9.740772327733123e-05, 'epoch': 0.06}
{'loss': 45088784384.0, 'grad_norm': 847115386880.0, 'learning_rate': 9.730158935637697e-05, 'epoch': 0.06}
{'loss': 54413721600.0, 'grad_norm': 2714579238912.0, 'learning_rate': 9.719338631066834e-05, 'epoch': 0.06}
{'loss': 38159656550.4, 'grad_norm': 2934019719168.0, 'learning_rate': 9.708311887335713e-05, 'epoch': 0.06}
{'loss': 50349172326.4, 'grad_norm': 552582774784.0, 'learning_rate': 9.697079186789823e-05, 'epoch': 0.06}
{'loss': 48062293606.4, 'grad_norm': 1186185347072.0, 'learning_rate': 9.685641020783876e-05, 'epoch': 0.06}
{'loss': 219726911897.6, 'grad_norm': 754681118720.0, 'learning_rate': 9.67399788966031e-05, 'epoch': 0.07}
{'loss': 54595983769.6, 'grad_norm': 2764560662528.0, 'learning_rate': 9.662150302727395e-05, 'epoch': 0.07}
{'loss': 37408001228.8, 'grad_norm': 760133844992.0, 'learning_rate': 9.650098778236968e-05, 'epoch': 0.07}
{'loss': 25325142016.0, 'grad_norm': 1937600020480.0, 'learning_rate': 9.637843843361749e-05, 'epoch': 0.07}
