  0%|          | 0/5000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                  
{'loss': 31202279738572.8, 'grad_norm': 87071112.0, 'learning_rate': 3.6e-06, 'epoch': 0.0}
{'loss': 35039101530931.2, 'grad_norm': 86926744.0, 'learning_rate': 7.6e-06, 'epoch': 0.01}
{'loss': 31704760713216.0, 'grad_norm': 55971552.0, 'learning_rate': 1.16e-05, 'epoch': 0.01}
{'loss': 28444474526924.8, 'grad_norm': 59202916.0, 'learning_rate': 1.56e-05, 'epoch': 0.02}
{'loss': 29177541558272.0, 'grad_norm': 96347160.0, 'learning_rate': 1.9600000000000002e-05, 'epoch': 0.02}
{'loss': 32321786452377.6, 'grad_norm': 113171656.0, 'learning_rate': 2.36e-05, 'epoch': 0.03}
{'loss': 32690938891468.8, 'grad_norm': 171206288.0, 'learning_rate': 2.7600000000000003e-05, 'epoch': 0.03}
{'loss': 32074809055641.6, 'grad_norm': 250649936.0, 'learning_rate': 3.16e-05, 'epoch': 0.04}
{'loss': 29406621020979.2, 'grad_norm': 351664032.0, 'learning_rate': 3.56e-05, 'epoch': 0.04}
{'loss': 32910676800307.2, 'grad_norm': 927854144.0, 'learning_rate': 3.960000000000001e-05, 'epoch': 0.05}
{'loss': 35129359597568.0, 'grad_norm': 1942531712.0, 'learning_rate': 4.36e-05, 'epoch': 0.05}
{'loss': 33533916820275.2, 'grad_norm': 4944473600.0, 'learning_rate': 4.76e-05, 'epoch': 0.06}
{'loss': 32129331652198.4, 'grad_norm': 6058963456.0, 'learning_rate': 5.16e-05, 'epoch': 0.06}
{'loss': 28654729953280.0, 'grad_norm': 16997233664.0, 'learning_rate': 5.560000000000001e-05, 'epoch': 0.07}
{'loss': 30371404893388.8, 'grad_norm': 18261739520.0, 'learning_rate': 5.96e-05, 'epoch': 0.07}
{'loss': 31575797609267.2, 'grad_norm': 54389510144.0, 'learning_rate': 6.36e-05, 'epoch': 0.08}
{'loss': 31479640673484.8, 'grad_norm': 78723833856.0, 'learning_rate': 6.76e-05, 'epoch': 0.08}
{'loss': 32875538599116.8, 'grad_norm': 108229386240.0, 'learning_rate': 7.16e-05, 'epoch': 0.09}
{'loss': 36025474324889.6, 'grad_norm': 316630630400.0, 'learning_rate': 7.560000000000001e-05, 'epoch': 0.09}
{'loss': 34073451954176.0, 'grad_norm': 435986300928.0, 'learning_rate': 7.960000000000001e-05, 'epoch': 0.1}
{'loss': 33089334018048.0, 'grad_norm': 489980329984.0, 'learning_rate': 8.36e-05, 'epoch': 0.1}
{'loss': 29366184574976.0, 'grad_norm': 627819806720.0, 'learning_rate': 8.76e-05, 'epoch': 0.11}
{'loss': 32935752027340.8, 'grad_norm': 1186822619136.0, 'learning_rate': 9.16e-05, 'epoch': 0.11}
{'loss': 29711030183526.4, 'grad_norm': 1797900599296.0, 'learning_rate': 9.56e-05, 'epoch': 0.12}
{'loss': 27835540439040.0, 'grad_norm': 1794740322304.0, 'learning_rate': 9.960000000000001e-05, 'epoch': 0.12}
{'loss': 30323687135641.6, 'grad_norm': 4110824243200.0, 'learning_rate': 9.999911419878559e-05, 'epoch': 0.13}
{'loss': 32011256961433.6, 'grad_norm': 5589514584064.0, 'learning_rate': 9.999605221019081e-05, 'epoch': 0.13}
{'loss': 31379836370944.0, 'grad_norm': 5615354642432.0, 'learning_rate': 9.999080323230761e-05, 'epoch': 0.14}
{'loss': 26713931540070.4, 'grad_norm': 4722707660800.0, 'learning_rate': 9.998336749474329e-05, 'epoch': 0.14}
{'loss': 26927893053440.0, 'grad_norm': 6922852892672.0, 'learning_rate': 9.997374532276107e-05, 'epoch': 0.15}
{'loss': 26195730314035.2, 'grad_norm': 12898631942144.0, 'learning_rate': 9.996193713726596e-05, 'epoch': 0.15}
{'loss': 23457655108403.2, 'grad_norm': 22150043926528.0, 'learning_rate': 9.994794345478624e-05, 'epoch': 0.16}
{'loss': 19501683205734.4, 'grad_norm': 22405623840768.0, 'learning_rate': 9.99317648874509e-05, 'epoch': 0.16}
{'loss': 17112637846323.2, 'grad_norm': 17847940022272.0, 'learning_rate': 9.991340214296292e-05, 'epoch': 0.17}
{'loss': 14456920316313.6, 'grad_norm': 32985671794688.0, 'learning_rate': 9.989285602456819e-05, 'epoch': 0.17}
{'loss': 13769069559808.0, 'grad_norm': 32813187334144.0, 'learning_rate': 9.98701274310205e-05, 'epoch': 0.18}
{'loss': 8603354687078.4, 'grad_norm': 24102450495488.0, 'learning_rate': 9.984521735654218e-05, 'epoch': 0.18}
{'loss': 6092070951321.6, 'grad_norm': 21818742145024.0, 'learning_rate': 9.981812689078057e-05, 'epoch': 0.19}
{'loss': 2973057941504.0, 'grad_norm': 9707345412096.0, 'learning_rate': 9.978885721876041e-05, 'epoch': 0.19}
{'loss': 1087294144512.0, 'grad_norm': 9957100486656.0, 'learning_rate': 9.975740962083198e-05, 'epoch': 0.2}
{'loss': 479401292595.2, 'grad_norm': 6582301622272.0, 'learning_rate': 9.972378547261504e-05, 'epoch': 0.2}
{'loss': 552989622272.0, 'grad_norm': 5629168582656.0, 'learning_rate': 9.968798624493885e-05, 'epoch': 0.21}
{'loss': 395552122470.4, 'grad_norm': 6918983122944.0, 'learning_rate': 9.965001350377753e-05, 'epoch': 0.21}
{'loss': 221613129728.0, 'grad_norm': 2285033488384.0, 'learning_rate': 9.960986891018183e-05, 'epoch': 0.22}
{'loss': 1026048602931.2, 'grad_norm': 2318154596352.0, 'learning_rate': 9.95675542202063e-05, 'epoch': 0.22}
{'loss': 234932194508.8, 'grad_norm': 1637893799936.0, 'learning_rate': 9.952307128483256e-05, 'epoch': 0.23}
{'loss': 87769468108.8, 'grad_norm': 857779535872.0, 'learning_rate': 9.947642204988835e-05, 'epoch': 0.23}
{'loss': 73892829593.6, 'grad_norm': 2178748907520.0, 'learning_rate': 9.942760855596226e-05, 'epoch': 0.24}
{'loss': 68875354112.0, 'grad_norm': 687259516928.0, 'learning_rate': 9.937663293831471e-05, 'epoch': 0.24}
{'loss': 105038584217.6, 'grad_norm': 973264016900096.0, 'learning_rate': 9.932349742678433e-05, 'epoch': 0.25}
{'loss': 73887691571.2, 'grad_norm': 30469104074752.0, 'learning_rate': 9.926820434569051e-05, 'epoch': 0.25}
{'loss': 56379899904.0, 'grad_norm': 7932440215552.0, 'learning_rate': 9.921075611373179e-05, 'epoch': 0.26}
{'loss': 48961690009.6, 'grad_norm': 3364334587609088.0, 'learning_rate': 9.915115524387988e-05, 'epoch': 0.26}
{'loss': 68816928768.0, 'grad_norm': inf, 'learning_rate': 9.908940434326997e-05, 'epoch': 0.27}
{'loss': 133633893990.4, 'grad_norm': inf, 'learning_rate': 9.902550611308645e-05, 'epoch': 0.27}
{'loss': 138111051366.4, 'grad_norm': inf, 'learning_rate': 9.895946334844494e-05, 'epoch': 0.28}
{'loss': 182828321996.8, 'grad_norm': inf, 'learning_rate': 9.889127893826989e-05, 'epoch': 0.28}
{'loss': 162216712601.6, 'grad_norm': inf, 'learning_rate': 9.882095586516831e-05, 'epoch': 0.29}
{'loss': 168250441728.0, 'grad_norm': inf, 'learning_rate': 9.874849720529921e-05, 'epoch': 0.29}
{'loss': 198547210240.0, 'grad_norm': inf, 'learning_rate': 9.867390612823914e-05, 'epoch': 0.29}
{'loss': 163886818918.4, 'grad_norm': inf, 'learning_rate': 9.859718589684344e-05, 'epoch': 0.3}
{'loss': 201930047488.0, 'grad_norm': inf, 'learning_rate': 9.851833986710353e-05, 'epoch': 0.3}
{'loss': 188424585216.0, 'grad_norm': inf, 'learning_rate': 9.843737148800023e-05, 'epoch': 0.31}
{'loss': 205639843840.0, 'grad_norm': inf, 'learning_rate': 9.835428430135271e-05, 'epoch': 0.31}
{'loss': 199617334476.8, 'grad_norm': inf, 'learning_rate': 9.82690819416637e-05, 'epoch': 0.32}
{'loss': 209982232985.6, 'grad_norm': inf, 'learning_rate': 9.818176813596041e-05, 'epoch': 0.32}
{'loss': 177401076121.6, 'grad_norm': inf, 'learning_rate': 9.809234670363159e-05, 'epoch': 0.33}
{'loss': 433371060633.6, 'grad_norm': inf, 'learning_rate': 9.800082155626034e-05, 'epoch': 0.33}
{'loss': 188041959833.6, 'grad_norm': inf, 'learning_rate': 9.790719669745312e-05, 'epoch': 0.34}
{'loss': 203398040780.8, 'grad_norm': inf, 'learning_rate': 9.781147622266455e-05, 'epoch': 0.34}
{'loss': 449144317542.4, 'grad_norm': inf, 'learning_rate': 9.771366431901831e-05, 'epoch': 0.35}
{'loss': 195487924224.0, 'grad_norm': inf, 'learning_rate': 9.761376526512394e-05, 'epoch': 0.35}
{'loss': 172929843200.0, 'grad_norm': inf, 'learning_rate': 9.751178343088963e-05, 'epoch': 0.36}
{'loss': 456226190131.2, 'grad_norm': inf, 'learning_rate': 9.740772327733123e-05, 'epoch': 0.36}
{'loss': 187890846924.8, 'grad_norm': inf, 'learning_rate': 9.730158935637697e-05, 'epoch': 0.37}
{'loss': 447491552051.2, 'grad_norm': inf, 'learning_rate': 9.719338631066834e-05, 'epoch': 0.37}
{'loss': 466315798118.4, 'grad_norm': inf, 'learning_rate': 9.708311887335713e-05, 'epoch': 0.38}
{'loss': 203696268902.4, 'grad_norm': inf, 'learning_rate': 9.697079186789823e-05, 'epoch': 0.38}
{'loss': 166425722880.0, 'grad_norm': inf, 'learning_rate': 9.685641020783876e-05, 'epoch': 0.39}
{'loss': 169329937612.8, 'grad_norm': inf, 'learning_rate': 9.67399788966031e-05, 'epoch': 0.39}
{'loss': 185435252326.4, 'grad_norm': inf, 'learning_rate': 9.662150302727395e-05, 'epoch': 0.4}
{'loss': 160266308812.8, 'grad_norm': inf, 'learning_rate': 9.650098778236968e-05, 'epoch': 0.4}
{'loss': 208886379315.2, 'grad_norm': inf, 'learning_rate': 9.637843843361749e-05, 'epoch': 0.41}
{'loss': 178722255667.2, 'grad_norm': inf, 'learning_rate': 9.62538603417229e-05, 'epoch': 0.41}
{'loss': 424797824614.4, 'grad_norm': inf, 'learning_rate': 9.612725895613526e-05, 'epoch': 0.42}
{'loss': 160086163456.0, 'grad_norm': inf, 'learning_rate': 9.599863981480926e-05, 'epoch': 0.42}
{'loss': 478378039705.6, 'grad_norm': inf, 'learning_rate': 9.586800854396283e-05, 'epoch': 0.43}
{'loss': 171534529331.2, 'grad_norm': inf, 'learning_rate': 9.573537085783095e-05, 'epoch': 0.43}
{'loss': 471301042995.2, 'grad_norm': inf, 'learning_rate': 9.560073255841571e-05, 'epoch': 0.44}
{'loss': 88315088076.8, 'grad_norm': nan, 'learning_rate': 9.546409953523247e-05, 'epoch': 0.44}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 9.532547776505229e-05, 'epoch': 0.45}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 9.518487331164048e-05, 'epoch': 0.45}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 9.504229232549134e-05, 'epoch': 0.46}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 9.489774104355909e-05, 'epoch': 0.46}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 9.475122578898507e-05, 'epoch': 0.47}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 9.460275297082119e-05, 'epoch': 0.47}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 9.445232908374948e-05, 'epoch': 0.48}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 9.429996070779808e-05, 'epoch': 0.48}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 9.414565450805333e-05, 'epoch': 0.49}
{'loss': 0.0, 'grad_norm': nan, 'learning_rate': 9.398941723436831e-05, 'epoch': 0.49}
  if idx % 2 == 1 and self.interleave_self_attention:
                                                      
