  0%|          | 0/5000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                  
{'loss': 7.3099, 'grad_norm': 3.011488437652588, 'learning_rate': 3.6e-06, 'epoch': 0.0}
{'loss': 11.679, 'grad_norm': 5.958949565887451, 'learning_rate': 7.6e-06, 'epoch': 0.01}
{'loss': 11.096, 'grad_norm': 7.239013195037842, 'learning_rate': 1.16e-05, 'epoch': 0.01}
{'loss': 10.29, 'grad_norm': 10.655523300170898, 'learning_rate': 1.56e-05, 'epoch': 0.02}
{'loss': 8.5342, 'grad_norm': 15.677051544189453, 'learning_rate': 1.9600000000000002e-05, 'epoch': 0.02}
{'loss': 10.084, 'grad_norm': 12.41222095489502, 'learning_rate': 2.36e-05, 'epoch': 0.03}
{'loss': 6.5306, 'grad_norm': 22.482526779174805, 'learning_rate': 2.7600000000000003e-05, 'epoch': 0.03}
{'loss': 5.1666, 'grad_norm': 27.851102828979492, 'learning_rate': 3.16e-05, 'epoch': 0.04}
{'loss': 4.5326, 'grad_norm': 12.175389289855957, 'learning_rate': 3.56e-05, 'epoch': 0.04}
{'loss': 4.3888, 'grad_norm': 38.82208251953125, 'learning_rate': 3.960000000000001e-05, 'epoch': 0.05}
{'loss': 3.7416, 'grad_norm': 11.689736366271973, 'learning_rate': 4.36e-05, 'epoch': 0.05}
{'loss': 3.6325, 'grad_norm': 17.65190887451172, 'learning_rate': 4.76e-05, 'epoch': 0.06}
{'loss': 3.2248, 'grad_norm': 36.19601821899414, 'learning_rate': 5.16e-05, 'epoch': 0.06}
{'loss': 3.3616, 'grad_norm': 5.441457271575928, 'learning_rate': 5.560000000000001e-05, 'epoch': 0.07}
{'loss': 3.2784, 'grad_norm': 13.559828758239746, 'learning_rate': 5.96e-05, 'epoch': 0.07}
