  0%|          | 0/5000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                  
{'loss': 7.3861, 'grad_norm': 3.0550544261932373, 'learning_rate': 3.6e-06, 'epoch': 0.0}
{'loss': 11.8265, 'grad_norm': 3.8412468433380127, 'learning_rate': 7.6e-06, 'epoch': 0.01}
{'loss': 11.2985, 'grad_norm': 3.8939290046691895, 'learning_rate': 1.16e-05, 'epoch': 0.01}
{'loss': 10.7264, 'grad_norm': 6.0638508796691895, 'learning_rate': 1.56e-05, 'epoch': 0.02}
{'loss': 9.0667, 'grad_norm': 8.122474670410156, 'learning_rate': 1.9600000000000002e-05, 'epoch': 0.02}
{'loss': 10.8032, 'grad_norm': 9.670145034790039, 'learning_rate': 2.36e-05, 'epoch': 0.03}
{'loss': 7.0736, 'grad_norm': 18.21306037902832, 'learning_rate': 2.7600000000000003e-05, 'epoch': 0.03}
{'loss': 5.9356, 'grad_norm': 31.441680908203125, 'learning_rate': 3.16e-05, 'epoch': 0.04}
{'loss': 5.622, 'grad_norm': 19.31783103942871, 'learning_rate': 3.56e-05, 'epoch': 0.04}
{'loss': 4.2819, 'grad_norm': 34.220638275146484, 'learning_rate': 3.960000000000001e-05, 'epoch': 0.05}
{'loss': 4.0002, 'grad_norm': 30.02981185913086, 'learning_rate': 4.36e-05, 'epoch': 0.05}
{'loss': 3.6918, 'grad_norm': 18.592159271240234, 'learning_rate': 4.76e-05, 'epoch': 0.06}
{'loss': 3.4268, 'grad_norm': 42.36774444580078, 'learning_rate': 5.16e-05, 'epoch': 0.06}
{'loss': 3.367, 'grad_norm': 9.5412015914917, 'learning_rate': 5.560000000000001e-05, 'epoch': 0.07}
{'loss': 3.2418, 'grad_norm': 15.919290542602539, 'learning_rate': 5.96e-05, 'epoch': 0.07}
{'loss': 3.1308, 'grad_norm': 9.785324096679688, 'learning_rate': 6.36e-05, 'epoch': 0.08}
{'loss': 3.0087, 'grad_norm': 21.284576416015625, 'learning_rate': 6.76e-05, 'epoch': 0.08}
{'loss': 2.9666, 'grad_norm': 4.622793674468994, 'learning_rate': 7.16e-05, 'epoch': 0.09}
{'loss': 3.2901, 'grad_norm': 10.163033485412598, 'learning_rate': 7.560000000000001e-05, 'epoch': 0.09}
{'loss': 2.9373, 'grad_norm': 18.890588760375977, 'learning_rate': 7.960000000000001e-05, 'epoch': 0.1}
{'loss': 2.7983, 'grad_norm': 27.625839233398438, 'learning_rate': 8.36e-05, 'epoch': 0.1}
{'loss': 2.4729, 'grad_norm': 30.680665969848633, 'learning_rate': 8.76e-05, 'epoch': 0.11}
{'loss': 2.4038, 'grad_norm': 11.508432388305664, 'learning_rate': 9.16e-05, 'epoch': 0.11}
{'loss': 2.2853, 'grad_norm': 22.370384216308594, 'learning_rate': 9.56e-05, 'epoch': 0.12}
{'loss': 2.4767, 'grad_norm': 13.849994659423828, 'learning_rate': 9.960000000000001e-05, 'epoch': 0.12}
{'loss': 2.8137, 'grad_norm': 6.920341968536377, 'learning_rate': 9.999911419878559e-05, 'epoch': 0.13}
{'loss': 2.1946, 'grad_norm': 7.701622009277344, 'learning_rate': 9.999605221019081e-05, 'epoch': 0.13}
{'loss': 2.1355, 'grad_norm': 13.248517990112305, 'learning_rate': 9.999080323230761e-05, 'epoch': 0.14}
{'loss': 2.1631, 'grad_norm': 25.285789489746094, 'learning_rate': 9.998336749474329e-05, 'epoch': 0.14}
{'loss': 1.9596, 'grad_norm': 14.400074005126953, 'learning_rate': 9.997374532276107e-05, 'epoch': 0.15}
{'loss': 1.97, 'grad_norm': 12.500714302062988, 'learning_rate': 9.996193713726596e-05, 'epoch': 0.15}
{'loss': 1.9368, 'grad_norm': 7.33529806137085, 'learning_rate': 9.994794345478624e-05, 'epoch': 0.16}
{'loss': 2.1507, 'grad_norm': 10.805033683776855, 'learning_rate': 9.99317648874509e-05, 'epoch': 0.16}
{'loss': 2.1883, 'grad_norm': 10.787079811096191, 'learning_rate': 9.991340214296292e-05, 'epoch': 0.17}
{'loss': 1.8375, 'grad_norm': 5.497297286987305, 'learning_rate': 9.989285602456819e-05, 'epoch': 0.17}
{'loss': 1.7189, 'grad_norm': 14.263215065002441, 'learning_rate': 9.98701274310205e-05, 'epoch': 0.18}
{'loss': 1.8392, 'grad_norm': 6.24184513092041, 'learning_rate': 9.984521735654218e-05, 'epoch': 0.18}
{'loss': 1.7773, 'grad_norm': 17.608980178833008, 'learning_rate': 9.981812689078057e-05, 'epoch': 0.19}
{'loss': 2.0734, 'grad_norm': 11.625984191894531, 'learning_rate': 9.978885721876041e-05, 'epoch': 0.19}
{'loss': 1.8222, 'grad_norm': 19.315471649169922, 'learning_rate': 9.975740962083198e-05, 'epoch': 0.2}
{'loss': 1.9344, 'grad_norm': 10.739754676818848, 'learning_rate': 9.972378547261504e-05, 'epoch': 0.2}
{'loss': 1.746, 'grad_norm': 8.317412376403809, 'learning_rate': 9.968798624493885e-05, 'epoch': 0.21}
{'loss': 1.8513, 'grad_norm': 7.889474868774414, 'learning_rate': 9.965001350377753e-05, 'epoch': 0.21}
{'loss': 1.9551, 'grad_norm': 8.955120086669922, 'learning_rate': 9.960986891018183e-05, 'epoch': 0.22}
{'loss': 2.3172, 'grad_norm': 11.121121406555176, 'learning_rate': 9.95675542202063e-05, 'epoch': 0.22}
{'loss': 2.086, 'grad_norm': 18.369375228881836, 'learning_rate': 9.952307128483256e-05, 'epoch': 0.23}
{'loss': 1.7339, 'grad_norm': 4.141305923461914, 'learning_rate': 9.947642204988835e-05, 'epoch': 0.23}
{'loss': 2.0405, 'grad_norm': 37.82754135131836, 'learning_rate': 9.942760855596226e-05, 'epoch': 0.24}
{'loss': 1.9451, 'grad_norm': 8.75936508178711, 'learning_rate': 9.937663293831471e-05, 'epoch': 0.24}
{'loss': 2.1472, 'grad_norm': 13.868975639343262, 'learning_rate': 9.932349742678433e-05, 'epoch': 0.25}
{'loss': 2.1772, 'grad_norm': 6.460030555725098, 'learning_rate': 9.926820434569051e-05, 'epoch': 0.25}
{'loss': 2.0428, 'grad_norm': 13.167716979980469, 'learning_rate': 9.921075611373179e-05, 'epoch': 0.26}
{'loss': 2.1603, 'grad_norm': 5.655534744262695, 'learning_rate': 9.915115524387988e-05, 'epoch': 0.26}
{'loss': 1.8198, 'grad_norm': 8.219855308532715, 'learning_rate': 9.908940434326997e-05, 'epoch': 0.27}
