  0%|          | 0/5000 [00:00<?, ?it/s]/virtual_lab/rlwrld/david/VLA_models_training/gr00t/gr00t/model/action_head/cross_attention_dit.py:281: FutureWarning: Accessing config attribute `interleave_self_attention` directly via 'DiT' object attribute is deprecated. Please access 'interleave_self_attention' over 'DiT's config object instead, e.g. 'unet.config.interleave_self_attention'.
  if idx % 2 == 1 and self.interleave_self_attention:
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                   
{'loss': 31202279738572.8, 'grad_norm': 79648640.0, 'learning_rate': 3.6e-06, 'epoch': 0.0}
{'loss': 35039101530931.2, 'grad_norm': 79764840.0, 'learning_rate': 7.6e-06, 'epoch': 0.01}
{'loss': 31704760713216.0, 'grad_norm': 61542000.0, 'learning_rate': 1.16e-05, 'epoch': 0.01}
{'loss': 28444474526924.8, 'grad_norm': 63280952.0, 'learning_rate': 1.56e-05, 'epoch': 0.02}
{'loss': 29177538202828.8, 'grad_norm': 103903216.0, 'learning_rate': 1.9600000000000002e-05, 'epoch': 0.02}
{'loss': 32321783096934.4, 'grad_norm': 123600176.0, 'learning_rate': 2.36e-05, 'epoch': 0.03}
{'loss': 32690935536025.6, 'grad_norm': 188871728.0, 'learning_rate': 2.7600000000000003e-05, 'epoch': 0.03}
{'loss': 32074798989312.0, 'grad_norm': 271073248.0, 'learning_rate': 3.16e-05, 'epoch': 0.04}
{'loss': 29406610954649.6, 'grad_norm': 374372640.0, 'learning_rate': 3.56e-05, 'epoch': 0.04}
{'loss': 32910656667648.0, 'grad_norm': 973726208.0, 'learning_rate': 3.960000000000001e-05, 'epoch': 0.05}
{'loss': 35129319332249.6, 'grad_norm': 2015261824.0, 'learning_rate': 4.36e-05, 'epoch': 0.05}
{'loss': 33533843000524.8, 'grad_norm': 5070921216.0, 'learning_rate': 4.76e-05, 'epoch': 0.06}
{'loss': 32129197434470.4, 'grad_norm': 6175937536.0, 'learning_rate': 5.16e-05, 'epoch': 0.06}
{'loss': 28654495072256.0, 'grad_norm': 17260478464.0, 'learning_rate': 5.560000000000001e-05, 'epoch': 0.07}
{'loss': 30370908287795.2, 'grad_norm': 18529878016.0, 'learning_rate': 5.96e-05, 'epoch': 0.07}
{'loss': 31574817819852.8, 'grad_norm': 55068807168.0, 'learning_rate': 6.36e-05, 'epoch': 0.08}
{'loss': 31477845511372.8, 'grad_norm': 79835496448.0, 'learning_rate': 6.76e-05, 'epoch': 0.08}
{'loss': 32872307307315.2, 'grad_norm': 109611442176.0, 'learning_rate': 7.16e-05, 'epoch': 0.09}
{'loss': 36019364062822.4, 'grad_norm': 320755957760.0, 'learning_rate': 7.560000000000001e-05, 'epoch': 0.09}
{'loss': 34063509775974.4, 'grad_norm': 444869115904.0, 'learning_rate': 7.960000000000001e-05, 'epoch': 0.1}
{'loss': 33072831948390.4, 'grad_norm': 507372011520.0, 'learning_rate': 8.36e-05, 'epoch': 0.1}
{'loss': 29344894287872.0, 'grad_norm': 637854547968.0, 'learning_rate': 8.76e-05, 'epoch': 0.11}
{'loss': 32901496307712.0, 'grad_norm': 1202004426752.0, 'learning_rate': 9.16e-05, 'epoch': 0.11}
{'loss': 29666966503424.0, 'grad_norm': 1815089381376.0, 'learning_rate': 9.56e-05, 'epoch': 0.12}
{'loss': 27774847182438.4, 'grad_norm': 1809328373760.0, 'learning_rate': 9.960000000000001e-05, 'epoch': 0.12}
{'loss': 30219228833382.4, 'grad_norm': 4174280130560.0, 'learning_rate': 9.999911419878559e-05, 'epoch': 0.13}
{'loss': 31842709694054.4, 'grad_norm': 5701268668416.0, 'learning_rate': 9.999605221019081e-05, 'epoch': 0.13}
{'loss': 31144888238080.0, 'grad_norm': 5719784947712.0, 'learning_rate': 9.999080323230761e-05, 'epoch': 0.14}
{'loss': 26447472440115.2, 'grad_norm': 4817744297984.0, 'learning_rate': 9.998336749474329e-05, 'epoch': 0.14}
{'loss': 26584295669760.0, 'grad_norm': 6992801824768.0, 'learning_rate': 9.997374532276107e-05, 'epoch': 0.15}
{'loss': 25777464252825.6, 'grad_norm': 12941345685504.0, 'learning_rate': 9.996193713726596e-05, 'epoch': 0.15}
{'loss': 22990421386854.4, 'grad_norm': 22060191449088.0, 'learning_rate': 9.994794345478624e-05, 'epoch': 0.16}
{'loss': 19024037543936.0, 'grad_norm': 22138767540224.0, 'learning_rate': 9.99317648874509e-05, 'epoch': 0.16}
{'loss': 16628361828761.6, 'grad_norm': 17534888706048.0, 'learning_rate': 9.991340214296292e-05, 'epoch': 0.17}
{'loss': 13970319815475.2, 'grad_norm': 32168239693824.0, 'learning_rate': 9.989285602456819e-05, 'epoch': 0.17}
{'loss': 13205687291084.8, 'grad_norm': 31774577000448.0, 'learning_rate': 9.98701274310205e-05, 'epoch': 0.18}
{'loss': 8180806241484.8, 'grad_norm': 23139436199936.0, 'learning_rate': 9.984521735654218e-05, 'epoch': 0.18}
{'loss': 5714755138355.2, 'grad_norm': 20827632304128.0, 'learning_rate': 9.981812689078057e-05, 'epoch': 0.19}
{'loss': 2734633569484.8, 'grad_norm': 8979071631360.0, 'learning_rate': 9.978885721876041e-05, 'epoch': 0.19}
{'loss': 1015030585753.6, 'grad_norm': 9060563812352.0, 'learning_rate': 9.975740962083198e-05, 'epoch': 0.2}
{'loss': 467723091968.0, 'grad_norm': 6205246275584.0, 'learning_rate': 9.972378547261504e-05, 'epoch': 0.2}
{'loss': 497873479270.4, 'grad_norm': 4704080232448.0, 'learning_rate': 9.968798624493885e-05, 'epoch': 0.21}
{'loss': 636593006182.4, 'grad_norm': 8250637418496.0, 'learning_rate': 9.965001350377753e-05, 'epoch': 0.21}
{'loss': 223279762636.8, 'grad_norm': 2073061883904.0, 'learning_rate': 9.960986891018183e-05, 'epoch': 0.22}
{'loss': 411137789132.8, 'grad_norm': 1893419712512.0, 'learning_rate': 9.95675542202063e-05, 'epoch': 0.22}
{'loss': 96123191296.0, 'grad_norm': 2407920041984.0, 'learning_rate': 9.952307128483256e-05, 'epoch': 0.23}
{'loss': 101386505420.8, 'grad_norm': 1089772322816.0, 'learning_rate': 9.947642204988835e-05, 'epoch': 0.23}
{'loss': 75202769715.2, 'grad_norm': 85878147907584.0, 'learning_rate': 9.942760855596226e-05, 'epoch': 0.24}
{'loss': 66152569241.6, 'grad_norm': 737159610368.0, 'learning_rate': 9.937663293831471e-05, 'epoch': 0.24}
{'loss': 69741615513.6, 'grad_norm': 1618830950400.0, 'learning_rate': 9.932349742678433e-05, 'epoch': 0.25}
{'loss': 56490400153.6, 'grad_norm': 1340511617024.0, 'learning_rate': 9.926820434569051e-05, 'epoch': 0.25}
{'loss': 53506378956.8, 'grad_norm': 1074044338176.0, 'learning_rate': 9.921075611373179e-05, 'epoch': 0.26}
{'loss': 43025235968.0, 'grad_norm': 772302831616.0, 'learning_rate': 9.915115524387988e-05, 'epoch': 0.26}
{'loss': 49635016704.0, 'grad_norm': 1071476178944.0, 'learning_rate': 9.908940434326997e-05, 'epoch': 0.27}
{'loss': 59556246323.2, 'grad_norm': 540708438016.0, 'learning_rate': 9.902550611308645e-05, 'epoch': 0.27}
{'loss': 40506910310.4, 'grad_norm': 364475613184.0, 'learning_rate': 9.895946334844494e-05, 'epoch': 0.28}
{'loss': 44332554649.6, 'grad_norm': 949839265792.0, 'learning_rate': 9.889127893826989e-05, 'epoch': 0.28}
{'loss': 47048989081.6, 'grad_norm': 571423850496.0, 'learning_rate': 9.882095586516831e-05, 'epoch': 0.29}
{'loss': 31676989440.0, 'grad_norm': 397252296704.0, 'learning_rate': 9.874849720529921e-05, 'epoch': 0.29}
{'loss': 289647099904.0, 'grad_norm': 7512811110400.0, 'learning_rate': 9.867390612823914e-05, 'epoch': 0.29}
{'loss': 44244379238.4, 'grad_norm': 2.655266430131372e+18, 'learning_rate': 9.859718589684344e-05, 'epoch': 0.3}
{'loss': 58005710438.4, 'grad_norm': 1775590703104.0, 'learning_rate': 9.851833986710353e-05, 'epoch': 0.3}
{'loss': 58224921804.8, 'grad_norm': 1683819855872.0, 'learning_rate': 9.843737148800023e-05, 'epoch': 0.31}
{'loss': 54015400345.6, 'grad_norm': 1990836486144.0, 'learning_rate': 9.835428430135271e-05, 'epoch': 0.31}
{'loss': 46631623065.6, 'grad_norm': 1093034180608.0, 'learning_rate': 9.82690819416637e-05, 'epoch': 0.32}
{'loss': 45290867916.8, 'grad_norm': 1.3092546376892416e+17, 'learning_rate': 9.818176813596041e-05, 'epoch': 0.32}
{'loss': 43145651814.4, 'grad_norm': 839146012672.0, 'learning_rate': 9.809234670363159e-05, 'epoch': 0.33}
{'loss': 306122640588.8, 'grad_norm': 530618384384.0, 'learning_rate': 9.800082155626034e-05, 'epoch': 0.33}
{'loss': 44413088563.2, 'grad_norm': 1404281290752.0, 'learning_rate': 9.790719669745312e-05, 'epoch': 0.34}
{'loss': 44026924236.8, 'grad_norm': 524944211968.0, 'learning_rate': 9.781147622266455e-05, 'epoch': 0.34}
{'loss': 317527739596.8, 'grad_norm': 4098803892224.0, 'learning_rate': 9.771366431901831e-05, 'epoch': 0.35}
{'loss': 40529759436.8, 'grad_norm': 947928301568.0, 'learning_rate': 9.761376526512394e-05, 'epoch': 0.35}
{'loss': 36886786867.2, 'grad_norm': 403932250112.0, 'learning_rate': 9.751178343088963e-05, 'epoch': 0.36}
{'loss': 308245141913.6, 'grad_norm': inf, 'learning_rate': 9.740772327733123e-05, 'epoch': 0.36}
{'loss': 42228862156.8, 'grad_norm': 1631373754368.0, 'learning_rate': 9.730158935637697e-05, 'epoch': 0.37}
{'loss': 302129348608.0, 'grad_norm': 579523444736.0, 'learning_rate': 9.719338631066834e-05, 'epoch': 0.37}
